trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
7,0,0,1,Memory,1,0.13107200000000002,0.42857142857142855
8,0,0,1,Memory,1,0.10485760000000002,0.5
9,0,0,1,Memory,1,0.08388608000000002,0.5555555555555556
10,0,0,1,Memory,1,0.06710886400000002,0.6
11,0,1,0,Memory,1,0.053687091200000016,0.5454545454545454
12,1,1,1,Memory,1,0.24294967296,0.5833333333333334
13,1,1,1,Memory,1,0.394359738368,0.6153846153846154
14,0,1,0,Memory,1,0.5154877906944,0.5714285714285714
15,0,1,0,Memory,1,0.6123902325555199,0.5333333333333333
16,1,1,1,Memory,1,0.689912186044416,0.5625
17,1,1,1,Memory,1,0.7519297488355328,0.5882352941176471
18,1,1,1,Memory,1,0.8015437990684262,0.6111111111111112
19,0,1,0,Memory,1,0.841235039254741,0.5789473684210527
20,1,1,1,Memory,1,0.8729880314037928,0.6
21,1,0,0,Memory,1,0.8983904251230342,0.5714285714285714
22,0,0,1,Memory,1,0.7187123400984274,0.5909090909090909
23,1,0,0,Memory,1,0.574969872078742,0.5652173913043478
24,0,0,1,Memory,1,0.45997589766299357,0.5833333333333334
25,0,0,1,Memory,1,0.36798071813039485,0.6
26,0,0,1,Memory,1,0.2943845745043159,0.6153846153846154
27,0,0,1,Memory,1,0.2355076596034527,0.6296296296296297
28,0,0,1,Memory,1,0.18840612768276216,0.6428571428571429
29,0,0,1,Memory,1,0.15072490214620973,0.6551724137931034
30,0,0,1,Memory,1,0.12057992171696778,0.6666666666666666
31,0,1,0,Memory,1,0.09646393737357423,0.6451612903225806
32,0,1,0,Memory,1,0.2771711498988594,0.625
33,1,1,1,Memory,1,0.4217369199190875,0.6363636363636364
34,0,1,0,Memory,1,0.5373895359352701,0.6176470588235294
35,1,1,1,Memory,1,0.629911628748216,0.6285714285714286
36,1,1,1,Memory,1,0.7039293029985728,0.6388888888888888
37,1,1,1,Memory,1,0.7631434423988582,0.6486486486486487
38,1,1,1,Memory,1,0.8105147539190866,0.6578947368421053
39,1,1,1,Memory,1,0.8484118031352692,0.6666666666666666
40,1,1,1,Memory,1,0.8787294425082154,0.675
41,1,0,0,Memory,1,0.9029835540065723,0.6585365853658537
42,1,0,0,Memory,1,0.7223868432052578,0.6428571428571429
43,1,0,0,Memory,1,0.5779094745642063,0.627906976744186
44,0,0,1,Memory,1,0.462327579651365,0.6363636363636364
45,1,0,0,Memory,1,0.369862063721092,0.6222222222222222
46,0,0,1,Memory,1,0.2958896509768736,0.6304347826086957
47,0,0,1,Memory,1,0.23671172078149888,0.6382978723404256
48,0,0,1,Memory,1,0.1893693766251991,0.6458333333333334
49,0,0,1,Memory,1,0.15149550130015926,0.6530612244897959
50,0,0,1,Memory,1,0.12119640104012741,0.66
51,0,1,0,Memory,1,0.09695712083210192,0.6470588235294118
52,0,1,0,Memory,1,0.27756569666568154,0.6346153846153846
53,0,1,0,Memory,1,0.4220525573325452,0.6226415094339622
54,1,1,1,Memory,1,0.5376420458660361,0.6296296296296297
55,1,1,1,Memory,1,0.6301136366928289,0.6363636363636364
56,1,1,1,Memory,1,0.7040909093542631,0.6428571428571429
57,1,1,1,Memory,1,0.7632727274834105,0.6491228070175439
58,0,1,0,Memory,1,0.8106181819867284,0.6379310344827587
59,1,1,1,Memory,1,0.8484945455893828,0.6440677966101694
60,1,1,1,Memory,1,0.8787956364715062,0.65
61,1,0,0,Memory,1,0.9030365091772049,0.639344262295082
