variable,mean,median,q2.5,q97.5
mu[1],0.64253974708937,0.46826644500000003,-0.295928741,2.449467092499999
mu[2],0.48780331127848,0.33051236500000003,-0.42284823075,2.1707044399999993
mu[3],1.6976413190496,1.94005225,-1.776446245,3.4709790424999998
sigma[1],0.88064214553654,0.608712405,0.029772432600000003,3.0836993424999983
sigma[2],0.56747687868129,0.340318035,0.011492155175000001,2.591226207499999
sigma[3],0.61345070399416,0.428570685,0.0157866908,2.7032570899999993
