variable,mean,median,q2.5,q97.5
p_win,0.8935851602,0.90227943,0.77146996825,0.9794684834999999
p_loss,0.159786644604,0.15310063000000002,0.046805152275,0.3118033142499999
lapse,0.1344751362562,0.123259625,0.03339058290000001,0.29988125575
