T,param,coverage
30,.chain,NA
30,.draw,NA
30,.iteration,NA
30,lapse,0.95
30,p_loss,0.475
30,p_win,0.975
60,.chain,NA
60,.draw,NA
60,.iteration,NA
60,lapse,0.95
60,p_loss,0.825
60,p_win,0.95
120,.chain,NA
120,.draw,NA
120,.iteration,NA
120,lapse,0.975
120,p_loss,0.95
120,p_win,0.925
