param,mean,q025,q975,T,sim_id,true
p_win,0.85394486776,0.6354916745000001,0.97728125675,30,1,0.8807853684882982
p_loss,0.161967993908,0.036600499375,0.32272817574999996,30,1,0.22982391357768223
lapse,0.155717280924,0.021986437725,0.35187043324999995,30,1,0.08079123483235695
p_win,0.83244350526,0.6727770782500001,0.9578191477499999,30,2,0.7407285859260636
p_loss,0.1845078776249,0.035245716225,0.3912103337499999,30,2,0.12879557320903612
lapse,0.1640299064507,0.0324306492,0.3693862485,30,2,0.147453375975005
p_win,0.89674494441,0.7509163605,0.98594156975,30,3,0.8367647356020779
p_loss,0.1668529175661,0.038604381575,0.34988085774999983,30,3,0.020508790998751393
lapse,0.1243648604923,0.02061688985,0.2957160254999999,30,3,0.10809366971382198
p_win,0.81583724449,0.6357947095,0.96595106,30,4,0.7980302385496724
p_loss,0.366121637235,0.15897102375000002,0.59498172875,30,4,0.3734408378324902
lapse,0.1957508159502,0.03255802945,0.42785284399999984,30,4,0.23082333616629375
p_win,0.77035394602,0.557322851,0.9593638857499999,30,5,0.8726232734415612
p_loss,0.328652998523,0.1165721875,0.5424873645,30,5,0.4233309992415111
lapse,0.2155496635762,0.028617616000000002,0.48139989774999997,30,5,0.21211015464183652
p_win,0.68091836028,0.45691841475000006,0.88970322625,30,6,0.7172433923133282
p_loss,0.144290510273,0.032304654375000005,0.32667359524999995,30,6,0.17277240011784722
lapse,0.1766026400754,0.028645621575,0.424957541,30,6,0.07047173090887658
p_win,0.77362679663,0.56448821875,0.935965438,30,7,0.5551119822054721
p_loss,0.1613682751771,0.030293278150000002,0.35686374,30,7,0.09577041291040586
lapse,0.171713681463,0.018215581525,0.3995630277499999,30,7,0.39943889939132976
p_win,0.86087846204,0.6885756307500001,0.9755253825,30,8,0.8543864937831671
p_loss,0.1138844819379,0.0161841146,0.28030519449999997,30,8,0.15542168760056208
lapse,0.1199897041141,0.01513596345,0.31166575575,30,8,0.11321225896342096
p_win,0.85866869088,0.6903065675,0.97772071725,30,9,0.802883081907786
p_loss,0.285543147177,0.094879532175,0.488808126,30,9,0.05522650417469927
lapse,0.16953544251841,0.022972263125,0.3916076369999999,30,9,0.42673597325761403
p_win,0.78750555945,0.5995665865,0.9417885332499999,30,10,0.7297017935516417
p_loss,0.190769495111,0.039521165375,0.4055067434999999,30,10,0.09388187049207636
lapse,0.1901200592835,0.033203033425,0.41191198775,30,10,0.08397423962919194
p_win,0.8272141628,0.6355613130000001,0.95897400025,30,11,0.724885839678263
p_loss,0.1187078229079,0.0216142072,0.30304966875,30,11,0.18341402860615394
lapse,0.1410472481467,0.023493595975,0.34372075874999997,30,11,0.08025644324786252
p_win,0.8338758896,0.6209144732499999,0.96852904425,30,12,0.9082704560134555
p_loss,0.246392298773,0.06843856157500001,0.4493206555,30,12,0.14625151299260322
lapse,0.1777357903287,0.02871826055,0.419339445,30,12,0.07808802456056231
p_win,0.70817325638,0.49966348525,0.9096973957499999,30,13,0.700049908494243
p_loss,0.1236070621679,0.015630669275,0.31461926225,30,13,0.23018666695834003
lapse,0.1660889354795,0.02767610295,0.3885453434999999,30,13,0.04091539307050815
p_win,0.85505750227,0.686833379,0.973772833,30,14,0.895293460555779
p_loss,0.1365030712525,0.0297012398,0.3009787602499999,30,14,0.11995571514328293
lapse,0.1418273853678,0.016793205525,0.34598431074999997,30,14,0.08958205444431583
p_win,0.74071230577,0.54671946225,0.905107271,30,15,0.7555701426917968
p_loss,0.11263191508762,0.014316770825,0.28107397324999994,30,15,0.11068531945347017
lapse,0.1480300509676,0.018107905775000002,0.37380671025,30,15,0.1365991591838627
p_win,0.80202404668,0.6089676965,0.963780193,30,16,0.7064638285950792
p_loss,0.1728344399165,0.031947811825000005,0.3649071817499999,30,16,0.06124455290324955
lapse,0.1866140293677,0.033230683,0.40678393599999996,30,16,0.19926288581916826
p_win,0.85097981864,0.66311611975,0.9748135112499999,30,17,0.965159981017715
p_loss,0.2312826162618,0.061529806400000005,0.44813153699999997,30,17,0.13127868652885505
lapse,0.17171898979015,0.022036030775,0.38920290425,30,17,0.324174367985506
p_win,0.71011433188,0.50529691175,0.897760182,30,18,0.7579310667441623
p_loss,0.227281641936,0.04068222682500001,0.45159565924999995,30,18,0.34861909958667914
lapse,0.2101195619187,0.033892890700000004,0.45766088824999995,30,18,0.22037186834698846
p_win,0.83651943201,0.647627276,0.96878552825,30,19,0.8758528176617512
p_loss,0.250504303355,0.07141533377499999,0.470726437,30,19,0.2256927783922256
lapse,0.1856542727811,0.02897707565,0.42381519375,30,19,0.2797214428554115
p_win,0.8183634518,0.594709052,0.9651609004999999,30,20,0.6499738473374492
p_loss,0.291163775474,0.094582218975,0.49311963375,30,20,0.35718936452521455
lapse,0.1970966100067,0.032824819675000005,0.44252828399999994,30,20,0.2226176422708036
p_win,0.78964409838,0.59113316225,0.95446132675,30,21,0.8408439812865975
p_loss,0.2032653091815,0.045238995175000005,0.40575864874999995,30,21,0.1656236201146132
lapse,0.1864852227587,0.029861255675000004,0.453979058,30,21,0.25676372645338447
p_win,0.76265239611,0.5791624354999999,0.92234195925,30,22,0.6888667929722528
p_loss,0.1619174816067,0.024203608625,0.37612959649999983,30,22,0.06508195385893593
lapse,0.180533466856,0.0275293529,0.41401553374999994,30,22,0.061825359295561995
p_win,0.75722962526,0.5410900839999999,0.929978616,30,23,0.7142151749505505
p_loss,0.1741958690327,0.0374985944,0.38326108275000004,30,23,0.09346158102813755
