pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,A,402,-12,-8,-4,-4,0.44,21,15,29,16,22,10,27,16
WSLS vs WSLS,WSLS,WSLS,B,402,12,4,8,-4,0.56,29,16,21,14,27,15,22,14
WSLS vs WSLS,WSLS,WSLS,A,403,2,-4,6,-10,0.51,23,14,27,16,28,14,21,11
WSLS vs WSLS,WSLS,WSLS,B,403,-2,-6,4,-10,0.49,27,15,23,12,21,16,28,16
WSLS vs WSLS,WSLS,WSLS,A,404,4,0,4,-4,0.52,25,16,25,17,26,18,23,8
WSLS vs WSLS,WSLS,WSLS,B,404,-4,-4,-0,-4,0.48,25,16,25,18,23,10,26,16
WSLS vs WSLS,WSLS,WSLS,A,405,0,14,-14,28,0.5,32,19,18,11,18,11,31,14
WSLS vs WSLS,WSLS,WSLS,B,405,-0,14,-14,28,0.5,18,9,32,17,31,11,18,6
WSLS vs WSLS,WSLS,WSLS,A,406,10,2,8,-6,0.55,26,15,24,10,29,17,20,14
WSLS vs WSLS,WSLS,WSLS,B,406,-10,-8,-2,-6,0.44999999999999996,24,15,26,15,20,10,29,23
WSLS vs WSLS,WSLS,WSLS,A,407,14,-4,18,-22,0.57,23,18,27,21,34,22,15,10
WSLS vs WSLS,WSLS,WSLS,B,407,-14,-18,4,-22,0.43000000000000005,27,14,23,12,15,10,34,21
WSLS vs WSLS,WSLS,WSLS,A,408,-6,-2,-4,2,0.47,24,12,26,19,23,13,26,13
WSLS vs WSLS,WSLS,WSLS,B,408,6,4,2,2,0.53,26,16,24,11,26,17,23,11
WSLS vs WSLS,WSLS,WSLS,A,409,0,2,-2,4,0.5,26,16,24,14,23,9,26,18
WSLS vs WSLS,WSLS,WSLS,B,409,-0,2,-2,4,0.5,24,7,26,14,26,13,23,13
WSLS vs WSLS,WSLS,WSLS,A,410,-4,2,-6,8,0.48,26,15,24,15,21,9,28,18
WSLS vs WSLS,WSLS,WSLS,B,410,4,6,-2,8,0.52,24,14,26,16,28,16,21,14
WSLS vs WSLS,WSLS,WSLS,A,411,-18,-12,-6,-6,0.41,19,12,31,15,22,12,27,15
WSLS vs WSLS,WSLS,WSLS,B,411,18,6,12,-6,0.5900000000000001,31,20,19,10,27,16,22,12
WSLS vs WSLS,WSLS,WSLS,A,412,0,-2,2,-4,0.5,24,17,26,12,25,11,24,12
WSLS vs WSLS,WSLS,WSLS,B,412,-0,-2,2,-4,0.5,26,13,24,12,24,12,25,12
WSLS vs WSLS,WSLS,WSLS,A,413,-2,2,-4,6,0.49,26,15,24,11,23,9,26,15
WSLS vs WSLS,WSLS,WSLS,B,413,2,4,-2,6,0.51,24,13,26,19,26,18,23,15
WSLS vs WSLS,WSLS,WSLS,A,414,0,-6,6,-12,0.5,22,13,28,15,28,16,21,12
WSLS vs WSLS,WSLS,WSLS,B,414,-0,-6,6,-12,0.5,28,15,22,9,21,16,28,17
WSLS vs WSLS,WSLS,WSLS,A,415,6,6,0,6,0.53,28,14,22,13,25,16,24,13
WSLS vs WSLS,WSLS,WSLS,B,415,-6,-0,-6,6,0.47,22,12,28,18,24,17,25,15
WSLS vs WSLS,WSLS,WSLS,A,416,-14,-8,-6,-2,0.43,21,17,29,15,21,10,28,14
WSLS vs WSLS,WSLS,WSLS,B,416,14,6,8,-2,0.5700000000000001,29,19,21,12,28,19,21,14
WSLS vs WSLS,WSLS,WSLS,A,417,-6,-2,-4,2,0.47,24,14,26,18,23,11,26,16
WSLS vs WSLS,WSLS,WSLS,B,417,6,4,2,2,0.53,26,12,24,15,26,15,23,9
WSLS vs WSLS,WSLS,WSLS,A,418,4,8,-4,12,0.52,29,17,21,13,23,13,26,17
WSLS vs WSLS,WSLS,WSLS,B,418,-4,4,-8,12,0.48,21,12,29,13,26,20,23,12
WSLS vs WSLS,WSLS,WSLS,A,419,-6,-6,0,-6,0.47,22,11,28,14,25,15,24,14
WSLS vs WSLS,WSLS,WSLS,B,419,6,-0,6,-6,0.53,28,16,22,12,24,14,25,13
WSLS vs WSLS,WSLS,WSLS,A,420,2,0,2,-2,0.51,25,17,25,11,25,16,24,16
WSLS vs WSLS,WSLS,WSLS,B,420,-2,-2,-0,-2,0.49,25,15,25,16,24,12,25,19
WSLS vs WSLS,WSLS,WSLS,A,421,0,4,-4,8,0.5,27,12,23,12,22,11,27,13
WSLS vs WSLS,WSLS,WSLS,B,421,-0,4,-4,8,0.5,23,15,27,17,27,11,22,16
WSLS vs WSLS,WSLS,WSLS,A,422,20,6,14,-8,0.6,28,14,22,11,31,16,18,11
WSLS vs WSLS,WSLS,WSLS,B,422,-20,-14,-6,-8,0.4,22,14,28,11,18,12,31,15
WSLS vs WSLS,WSLS,WSLS,A,423,-10,-4,-6,2,0.45,23,14,27,19,21,13,28,11
WSLS vs WSLS,WSLS,WSLS,B,423,10,6,4,2,0.55,27,17,23,16,28,17,21,14
WSLS vs WSLS,WSLS,WSLS,A,424,-16,-2,-14,12,0.42,24,15,26,15,17,9,32,18
WSLS vs WSLS,WSLS,WSLS,B,424,16,14,2,12,0.5800000000000001,26,15,24,13,32,20,17,11
WSLS vs WSLS,WSLS,WSLS,A,425,-4,4,-8,12,0.48,27,15,23,14,20,15,29,15
WSLS vs WSLS,WSLS,WSLS,B,425,4,8,-4,12,0.52,23,12,27,13,29,14,20,9
WSLS vs WSLS,WSLS,WSLS,A,426,6,6,0,6,0.53,28,15,22,10,25,14,24,12
WSLS vs WSLS,WSLS,WSLS,B,426,-6,-0,-6,6,0.47,22,11,28,9,24,17,25,16
WSLS vs WSLS,WSLS,WSLS,A,427,14,10,4,6,0.57,30,16,20,15,26,19,23,10
WSLS vs WSLS,WSLS,WSLS,B,427,-14,-4,-10,6,0.43000000000000005,20,10,30,14,23,14,26,15
WSLS vs WSLS,WSLS,WSLS,A,428,-6,2,-8,10,0.47,26,10,24,15,21,14,28,18
WSLS vs WSLS,WSLS,WSLS,B,428,6,8,-2,10,0.53,24,12,26,13,28,17,21,11
WSLS vs WSLS,WSLS,WSLS,A,429,6,0,6,-6,0.53,25,15,25,19,27,16,22,15
WSLS vs WSLS,WSLS,WSLS,B,429,-6,-6,-0,-6,0.47,25,12,25,15,22,13,27,14
WSLS vs WSLS,WSLS,WSLS,A,430,-16,-4,-12,8,0.42,23,14,27,11,19,10,30,21
WSLS vs WSLS,WSLS,WSLS,B,430,16,12,4,8,0.5800000000000001,27,14,23,12,30,23,19,13
WSLS vs WSLS,WSLS,WSLS,A,431,-2,-10,8,-18,0.49,20,11,30,15,28,10,21,10
WSLS vs WSLS,WSLS,WSLS,B,431,2,-8,10,-18,0.51,30,18,20,12,21,12,28,10
WSLS vs WSLS,WSLS,WSLS,A,432,-6,-4,-2,-2,0.47,23,12,27,12,23,16,26,8
WSLS vs WSLS,WSLS,WSLS,B,432,6,2,4,-2,0.53,27,15,23,14,26,9,23,9
WSLS vs WSLS,WSLS,WSLS,A,433,6,0,6,-6,0.53,25,13,25,12,27,20,22,15
WSLS vs WSLS,WSLS,WSLS,B,433,-6,-6,-0,-6,0.47,25,20,25,16,22,12,27,17
WSLS vs WSLS,WSLS,WSLS,A,434,18,8,10,-2,0.59,29,20,21,16,29,17,20,8
WSLS vs WSLS,WSLS,WSLS,B,434,-18,-10,-8,-2,0.41000000000000003,21,8,29,18,20,11,29,18
WSLS vs WSLS,WSLS,WSLS,A,435,-12,-4,-8,4,0.44,23,10,27,10,20,10,29,10
WSLS vs WSLS,WSLS,WSLS,B,435,12,8,4,4,0.56,27,13,23,16,29,19,20,10
WSLS vs WSLS,WSLS,WSLS,A,436,-4,4,-8,12,0.48,27,13,23,8,21,15,28,17
WSLS vs WSLS,WSLS,WSLS,B,436,4,8,-4,12,0.52,23,10,27,17,28,22,21,13
WSLS vs WSLS,WSLS,WSLS,A,437,-12,-2,-10,8,0.44,24,17,26,19,20,9,29,20
WSLS vs WSLS,WSLS,WSLS,B,437,12,10,2,8,0.56,26,15,24,13,29,16,20,13
WSLS vs WSLS,WSLS,WSLS,A,438,14,2,12,-10,0.57,26,18,24,13,30,18,19,11
WSLS vs WSLS,WSLS,WSLS,B,438,-14,-12,-2,-10,0.43000000000000005,24,15,26,15,19,9,30,25
WSLS vs WSLS,WSLS,WSLS,A,439,12,10,2,8,0.56,30,24,20,13,26,14,23,14
WSLS vs WSLS,WSLS,WSLS,B,439,-12,-2,-10,8,0.43999999999999995,20,11,30,18,23,13,26,14
WSLS vs WSLS,WSLS,WSLS,A,440,16,12,4,8,0.58,31,21,19,8,26,14,23,12
WSLS vs WSLS,WSLS,WSLS,B,440,-16,-4,-12,8,0.42000000000000004,19,12,31,22,23,16,26,17
WSLS vs WSLS,WSLS,WSLS,A,441,-12,-4,-8,4,0.44,23,14,27,14,21,15,28,18
WSLS vs WSLS,WSLS,WSLS,B,441,12,8,4,4,0.56,27,18,23,13,28,17,21,7
WSLS vs WSLS,WSLS,WSLS,A,442,2,-2,4,-6,0.51,24,16,26,13,26,11,23,14
WSLS vs WSLS,WSLS,WSLS,B,442,-2,-4,2,-6,0.49,26,18,24,14,23,13,26,14
WSLS vs WSLS,WSLS,WSLS,A,443,10,8,2,6,0.55,29,16,21,13,25,11,24,16
WSLS vs WSLS,WSLS,WSLS,B,443,-10,-2,-8,6,0.44999999999999996,21,10,29,19,24,14,25,16
WSLS vs WSLS,WSLS,WSLS,A,444,2,4,-2,6,0.51,27,17,23,15,24,11,25,14
WSLS vs WSLS,WSLS,WSLS,B,444,-2,2,-4,6,0.49,23,12,27,18,25,10,24,14
WSLS vs WSLS,WSLS,WSLS,A,445,12,8,4,4,0.56,29,22,21,13,27,14,22,12
WSLS vs WSLS,WSLS,WSLS,B,445,-12,-4,-8,4,0.43999999999999995,21,13,29,12,22,13,27,13
WSLS vs WSLS,WSLS,WSLS,A,446,-6,-8,2,-10,0.47,21,13,29,22,26,20,23,15
WSLS vs WSLS,WSLS,WSLS,B,446,6,-2,8,-10,0.53,29,16,21,9,23,17,26,17
WSLS vs WSLS,WSLS,WSLS,A,447,-4,-8,4,-12,0.48,21,14,29,13,26,17,23,14
WSLS vs WSLS,WSLS,WSLS,B,447,4,-4,8,-12,0.52,29,15,21,10,23,14,26,18
WSLS vs WSLS,WSLS,WSLS,A,448,2,-2,4,-6,0.51,24,11,26,11,27,13,22,10
WSLS vs WSLS,WSLS,WSLS,B,448,-2,-4,2,-6,0.49,26,16,24,10,22,11,27,13
WSLS vs WSLS,WSLS,WSLS,A,449,2,2,0,2,0.51,26,9,24,13,25,15,24,14
WSLS vs WSLS,WSLS,WSLS,B,449,-2,-0,-2,2,0.49,24,13,26,13,24,13,25,7
WSLS vs WSLS,WSLS,WSLS,A,450,-2,6,-8,14,0.49,28,18,22,13,21,13,28,19
WSLS vs WSLS,WSLS,WSLS,B,450,2,8,-6,14,0.51,22,12,28,18,28,15,21,14
WSLS vs WSLS,WSLS,WSLS,A,451,12,-4,16,-20,0.56,23,13,27,8,33,20,16,9
WSLS vs WSLS,WSLS,WSLS,B,451,-12,-16,4,-20,0.43999999999999995,27,8,23,12,16,6,33,22
WSLS vs WSLS,WSLS,WSLS,A,452,-4,-8,4,-12,0.48,21,13,29,20,27,15,22,12
WSLS vs WSLS,WSLS,WSLS,B,452,4,-4,8,-12,0.52,29,16,21,14,22,13,27,17
WSLS vs WSLS,WSLS,WSLS,A,453,-14,-8,-6,-2,0.43,21,10,29,15,21,9,28,17
WSLS vs WSLS,WSLS,WSLS,B,453,14,6,8,-2,0.5700000000000001,29,18,21,14,28,13,21,11
WSLS vs WSLS,WSLS,WSLS,A,454,-2,-6,4,-10,0.49,22,9,28,15,26,17,23,9
WSLS vs WSLS,WSLS,WSLS,B,454,2,-4,6,-10,0.51,28,19,22,15,23,11,26,15
WSLS vs WSLS,WSLS,WSLS,A,455,-16,-2,-14,12,0.42,24,14,26,15,18,10,31,20
WSLS vs WSLS,WSLS,WSLS,B,455,16,14,2,12,0.5800000000000001,26,12,24,13,31,20,18,11
WSLS vs WSLS,WSLS,WSLS,A,456,-2,-4,2,-6,0.49,23,12,27,14,26,8,23,14
WSLS vs WSLS,WSLS,WSLS,B,456,2,-2,4,-6,0.51,27,13,23,14,23,11,26,14
WSLS vs WSLS,WSLS,WSLS,A,457,16,0,16,-16,0.58,25,11,25,10,33,21,16,9
WSLS vs WSLS,WSLS,WSLS,B,457,-16,-16,-0,-16,0.42000000000000004,25,11,25,13,16,7,33,22
WSLS vs WSLS,WSLS,WSLS,A,458,12,2,10,-8,0.56,26,12,24,13,30,16,19,6
WSLS vs WSLS,WSLS,WSLS,B,458,-12,-10,-2,-8,0.43999999999999995,24,12,26,18,19,11,30,17
WSLS vs WSLS,WSLS,WSLS,A,459,-12,-10,-2,-8,0.44,20,9,30,20,23,11,26,15
WSLS vs WSLS,WSLS,WSLS,B,459,12,2,10,-8,0.56,30,16,20,11,26,18,23,9
WSLS vs WSLS,WSLS,WSLS,A,460,-4,-6,2,-8,0.48,22,9,28,11,25,14,24,16
WSLS vs WSLS,WSLS,WSLS,B,460,4,-2,6,-8,0.52,28,16,22,13,24,11,25,14
WSLS vs WSLS,WSLS,WSLS,A,461,-6,-6,0,-6,0.47,22,14,28,14,24,13,25,14
WSLS vs WSLS,WSLS,WSLS,B,461,6,-0,6,-6,0.53,28,20,22,11,25,11,24,15
WSLS vs WSLS,WSLS,WSLS,A,462,-2,-10,8,-18,0.49,20,13,30,22,28,18,21,9
WSLS vs WSLS,WSLS,WSLS,B,462,2,-8,10,-18,0.51,30,23,20,13,21,17,28,10
WSLS vs WSLS,WSLS,WSLS,A,463,2,6,-4,10,0.51,28,16,22,9,22,7,27,13
WSLS vs WSLS,WSLS,WSLS,B,463,-2,4,-6,10,0.49,22,10,28,18,27,16,22,12
WSLS vs WSLS,WSLS,WSLS,A,464,6,-2,8,-10,0.53,24,14,26,11,29,19,20,11
WSLS vs WSLS,WSLS,WSLS,B,464,-6,-8,2,-10,0.47,26,16,24,13,20,13,29,17
WSLS vs WSLS,WSLS,WSLS,A,465,2,0,2,-2,0.51,25,12,25,11,25,13,24,18
WSLS vs WSLS,WSLS,WSLS,B,465,-2,-2,-0,-2,0.49,25,18,25,16,24,12,25,11
WSLS vs WSLS,WSLS,WSLS,A,466,-4,0,-4,4,0.48,25,10,25,16,23,15,26,20
WSLS vs WSLS,WSLS,WSLS,B,466,4,4,-0,4,0.52,25,11,25,15,26,11,23,16
WSLS vs WSLS,WSLS,WSLS,A,467,-4,0,-4,4,0.48,25,14,25,15,22,14,27,16
WSLS vs WSLS,WSLS,WSLS,B,467,4,4,-0,4,0.52,25,15,25,15,27,7,22,8
WSLS vs WSLS,WSLS,WSLS,A,468,-4,-4,0,-4,0.48,23,13,27,15,25,16,24,13
WSLS vs WSLS,WSLS,WSLS,B,468,4,-0,4,-4,0.52,27,12,23,14,24,16,25,15
WSLS vs WSLS,WSLS,WSLS,A,469,2,4,-2,6,0.51,27,16,23,13,24,14,25,12
WSLS vs WSLS,WSLS,WSLS,B,469,-2,2,-4,6,0.49,23,9,27,14,25,12,24,15
WSLS vs WSLS,WSLS,WSLS,A,470,-12,-6,-6,0,0.44,22,15,28,17,22,14,27,13
WSLS vs WSLS,WSLS,WSLS,B,470,12,6,6,0,0.56,28,18,22,11,27,10,22,16
WSLS vs WSLS,WSLS,WSLS,A,471,10,8,2,6,0.55,29,21,21,12,25,17,24,13
WSLS vs WSLS,WSLS,WSLS,B,471,-10,-2,-8,6,0.44999999999999996,21,13,29,22,24,10,25,14
WSLS vs WSLS,WSLS,WSLS,A,472,6,6,0,6,0.53,28,17,22,12,25,16,24,16
WSLS vs WSLS,WSLS,WSLS,B,472,-6,-0,-6,6,0.47,22,12,28,18,24,10,25,15
WSLS vs WSLS,WSLS,WSLS,A,473,4,-2,6,-8,0.52,24,13,26,19,27,16,22,8
WSLS vs WSLS,WSLS,WSLS,B,473,-4,-6,2,-8,0.48,26,15,24,16,22,13,27,18
WSLS vs WSLS,WSLS,WSLS,A,474,14,6,8,-2,0.57,28,16,22,13,28,14,21,13
WSLS vs WSLS,WSLS,WSLS,B,474,-14,-8,-6,-2,0.43000000000000005,22,11,28,16,21,9,28,14
WSLS vs WSLS,WSLS,WSLS,A,475,10,10,0,10,0.55,30,15,20,11,25,11,24,12
WSLS vs WSLS,WSLS,WSLS,B,475,-10,-0,-10,10,0.44999999999999996,20,11,30,15,24,12,25,13
WSLS vs WSLS,WSLS,WSLS,A,476,0,0,0,0,0.5,25,14,25,11,25,14,24,11
WSLS vs WSLS,WSLS,WSLS,B,476,-0,-0,-0,0,0.5,25,16,25,14,24,12,25,15
WSLS vs WSLS,WSLS,WSLS,A,477,4,8,-4,12,0.52,29,15,21,12,22,8,27,11
WSLS vs WSLS,WSLS,WSLS,B,477,-4,4,-8,12,0.48,21,9,29,16,27,16,22,13
WSLS vs WSLS,WSLS,WSLS,A,478,-4,-16,12,-28,0.48,17,6,33,21,30,18,19,12
WSLS vs WSLS,WSLS,WSLS,B,478,4,-12,16,-28,0.52,33,20,17,13,19,9,30,13
WSLS vs WSLS,WSLS,WSLS,A,479,-8,-8,0,-8,0.46,21,12,29,14,25,17,24,12
WSLS vs WSLS,WSLS,WSLS,B,479,8,-0,8,-8,0.54,29,13,21,12,24,15,25,16
WSLS vs WSLS,WSLS,WSLS,A,480,-8,-12,4,-16,0.46,19,9,31,19,27,18,22,9
WSLS vs WSLS,WSLS,WSLS,B,480,8,-4,12,-16,0.54,31,16,19,9,22,16,27,15
WSLS vs WSLS,WSLS,WSLS,A,481,20,12,8,4,0.6,31,17,19,10,29,15,20,8
WSLS vs WSLS,WSLS,WSLS,B,481,-20,-8,-12,4,0.4,19,10,31,19,20,10,29,16
WSLS vs WSLS,WSLS,WSLS,A,482,14,12,2,10,0.57,31,14,19,11,25,11,24,12
WSLS vs WSLS,WSLS,WSLS,B,482,-14,-2,-12,10,0.43000000000000005,19,8,31,16,24,13,25,14
WSLS vs WSLS,WSLS,WSLS,A,483,4,0,4,-4,0.52,25,17,25,14,26,16,23,18
WSLS vs WSLS,WSLS,WSLS,B,483,-4,-4,-0,-4,0.48,25,18,25,10,23,12,26,14
WSLS vs WSLS,WSLS,WSLS,A,484,14,10,4,6,0.57,30,13,20,10,26,17,23,10
WSLS vs WSLS,WSLS,WSLS,B,484,-14,-4,-10,6,0.43000000000000005,20,8,30,19,23,12,26,12
WSLS vs WSLS,WSLS,WSLS,A,485,4,4,0,4,0.52,27,18,23,11,25,13,24,15
WSLS vs WSLS,WSLS,WSLS,B,485,-4,-0,-4,4,0.48,23,13,27,13,24,12,25,15
WSLS vs WSLS,WSLS,WSLS,A,486,-12,-8,-4,-4,0.44,21,15,29,16,22,12,27,19
WSLS vs WSLS,WSLS,WSLS,B,486,12,4,8,-4,0.56,29,20,21,9,27,15,22,13
WSLS vs WSLS,WSLS,WSLS,A,487,22,10,12,-2,0.61,30,16,20,14,30,15,19,13
WSLS vs WSLS,WSLS,WSLS,B,487,-22,-12,-10,-2,0.39,20,14,30,20,19,8,30,18
WSLS vs WSLS,WSLS,WSLS,A,488,4,8,-4,12,0.52,29,18,21,8,23,15,26,12
WSLS vs WSLS,WSLS,WSLS,B,488,-4,4,-8,12,0.48,21,9,29,14,26,14,23,14
WSLS vs WSLS,WSLS,WSLS,A,489,-6,-6,0,-6,0.47,22,9,28,18,25,11,24,13
WSLS vs WSLS,WSLS,WSLS,B,489,6,-0,6,-6,0.53,28,16,22,14,24,13,25,12
WSLS vs WSLS,WSLS,WSLS,A,490,-12,4,-16,20,0.44,27,12,23,12,17,11,32,15
WSLS vs WSLS,WSLS,WSLS,B,490,12,16,-4,20,0.56,23,14,27,16,32,17,17,6
WSLS vs WSLS,WSLS,WSLS,A,491,-6,-8,2,-10,0.47,21,14,29,19,26,15,23,12
WSLS vs WSLS,WSLS,WSLS,B,491,6,-2,8,-10,0.53,29,19,21,8,23,15,26,13
WSLS vs WSLS,WSLS,WSLS,A,492,-8,4,-12,16,0.46,27,15,23,10,18,10,31,17
WSLS vs WSLS,WSLS,WSLS,B,492,8,12,-4,16,0.54,23,16,27,13,31,17,18,7
WSLS vs WSLS,WSLS,WSLS,A,493,14,16,-2,18,0.57,33,18,17,5,23,14,26,15
WSLS vs WSLS,WSLS,WSLS,B,493,-14,2,-16,18,0.43000000000000005,17,12,33,20,26,14,23,10
WSLS vs WSLS,WSLS,WSLS,A,494,-10,2,-12,14,0.45,26,14,24,14,19,8,30,21
WSLS vs WSLS,WSLS,WSLS,B,494,10,12,-2,14,0.55,24,15,26,13,30,18,19,7
WSLS vs WSLS,WSLS,WSLS,A,495,-14,-10,-4,-6,0.43,20,11,30,16,22,16,27,13
WSLS vs WSLS,WSLS,WSLS,B,495,14,4,10,-6,0.5700000000000001,30,9,20,13,27,14,22,13
WSLS vs WSLS,WSLS,WSLS,A,496,16,10,6,4,0.58,30,17,20,14,28,13,21,13
WSLS vs WSLS,WSLS,WSLS,B,496,-16,-6,-10,4,0.42000000000000004,20,13,30,17,21,13,28,16
WSLS vs WSLS,WSLS,WSLS,A,497,-8,-6,-2,-4,0.46,22,13,28,14,23,13,26,16
WSLS vs WSLS,WSLS,WSLS,B,497,8,2,6,-4,0.54,28,17,22,10,26,9,23,13
WSLS vs WSLS,WSLS,WSLS,A,498,4,-6,10,-16,0.52,22,12,28,17,29,16,20,12
WSLS vs WSLS,WSLS,WSLS,B,498,-4,-10,6,-16,0.48,28,13,22,15,20,9,29,16
WSLS vs WSLS,WSLS,WSLS,A,499,8,4,4,0,0.54,27,16,23,11,26,13,23,13
WSLS vs WSLS,WSLS,WSLS,B,499,-8,-4,-4,0,0.45999999999999996,23,12,27,16,23,13,26,14
WSLS vs WSLS,WSLS,WSLS,A,500,-12,-8,-4,-4,0.44,21,13,29,19,23,12,26,11
WSLS vs WSLS,WSLS,WSLS,B,500,12,4,8,-4,0.56,29,16,21,11,26,18,23,11
WSLS vs WSLS,WSLS,WSLS,A,501,8,8,0,8,0.54,29,17,21,11,24,18,25,17
WSLS vs WSLS,WSLS,WSLS,B,501,-8,-0,-8,8,0.45999999999999996,21,10,29,14,25,16,24,15
WSLS vs WSLS,WSLS,WSLS,A,502,24,16,8,8,0.62,33,24,17,11,29,14,20,13
WSLS vs WSLS,WSLS,WSLS,B,502,-24,-8,-16,8,0.38,17,5,33,15,20,10,29,19
WSLS vs WSLS,WSLS,WSLS,A,503,14,0,14,-14,0.57,25,15,25,13,31,14,18,11
WSLS vs WSLS,WSLS,WSLS,B,503,-14,-14,-0,-14,0.43000000000000005,25,14,25,11,18,7,31,17
WSLS vs WSLS,WSLS,WSLS,A,504,8,10,-2,12,0.54,30,24,20,13,24,12,25,17
WSLS vs WSLS,WSLS,WSLS,B,504,-8,2,-10,12,0.45999999999999996,20,8,30,18,25,11,24,17
WSLS vs WSLS,WSLS,WSLS,A,505,16,4,12,-8,0.58,27,19,23,13,31,19,18,10
WSLS vs WSLS,WSLS,WSLS,B,505,-16,-12,-4,-8,0.42000000000000004,23,13,27,16,18,10,31,21
WSLS vs WSLS,WSLS,WSLS,A,506,-12,-14,2,-16,0.44,18,10,32,13,25,15,24,12
WSLS vs WSLS,WSLS,WSLS,B,506,12,-2,14,-16,0.56,32,18,18,12,24,14,25,14
WSLS vs WSLS,WSLS,WSLS,A,507,-4,2,-6,8,0.48,26,14,24,16,21,10,28,17
WSLS vs WSLS,WSLS,WSLS,B,507,4,6,-2,8,0.52,24,10,26,16,28,16,21,11
WSLS vs WSLS,WSLS,WSLS,A,508,-10,-6,-4,-2,0.45,22,12,28,11,23,14,26,16
WSLS vs WSLS,WSLS,WSLS,B,508,10,4,6,-2,0.55,28,17,22,11,26,10,23,15
WSLS vs WSLS,WSLS,WSLS,A,509,-8,2,-10,12,0.46,26,16,24,16,20,13,29,14
WSLS vs WSLS,WSLS,WSLS,B,509,8,10,-2,12,0.54,24,13,26,17,29,16,20,10
WSLS vs WSLS,WSLS,WSLS,A,510,-8,-8,0,-8,0.46,21,13,29,18,25,16,24,13
WSLS vs WSLS,WSLS,WSLS,B,510,8,-0,8,-8,0.54,29,22,21,13,24,13,25,11
WSLS vs WSLS,WSLS,WSLS,A,511,-2,-6,4,-10,0.49,22,12,28,12,27,16,22,14
WSLS vs WSLS,WSLS,WSLS,B,511,2,-4,6,-10,0.51,28,13,22,14,22,12,27,14
WSLS vs WSLS,WSLS,WSLS,A,512,-4,-4,0,-4,0.48,23,12,27,16,24,15,25,13
WSLS vs WSLS,WSLS,WSLS,B,512,4,-0,4,-4,0.52,27,15,23,7,25,15,24,11
WSLS vs WSLS,WSLS,WSLS,A,513,-2,2,-4,6,0.49,26,14,24,10,23,15,26,17
WSLS vs WSLS,WSLS,WSLS,B,513,2,4,-2,6,0.51,24,11,26,20,26,18,23,10
WSLS vs WSLS,WSLS,WSLS,A,514,-2,-6,4,-10,0.49,22,11,28,12,26,16,23,12
WSLS vs WSLS,WSLS,WSLS,B,514,2,-4,6,-10,0.51,28,14,22,15,23,13,26,13
WSLS vs WSLS,WSLS,WSLS,A,515,-10,-2,-8,6,0.45,24,16,26,13,21,14,28,14
WSLS vs WSLS,WSLS,WSLS,B,515,10,8,2,6,0.55,26,12,24,10,28,20,21,14
WSLS vs WSLS,WSLS,WSLS,A,516,10,8,2,6,0.55,29,16,21,8,26,15,23,11
WSLS vs WSLS,WSLS,WSLS,B,516,-10,-2,-8,6,0.44999999999999996,21,15,29,19,23,11,26,17
WSLS vs WSLS,WSLS,WSLS,A,517,-18,-4,-14,10,0.41,23,14,27,16,17,9,32,22
WSLS vs WSLS,WSLS,WSLS,B,517,18,14,4,10,0.5900000000000001,27,12,23,11,32,23,17,8
WSLS vs WSLS,WSLS,WSLS,A,518,8,10,-2,12,0.54,30,21,20,8,24,17,25,15
WSLS vs WSLS,WSLS,WSLS,B,518,-8,2,-10,12,0.45999999999999996,20,13,30,15,25,13,24,16
WSLS vs WSLS,WSLS,WSLS,A,519,0,-4,4,-8,0.5,23,15,27,10,27,20,22,8
WSLS vs WSLS,WSLS,WSLS,B,519,-0,-4,4,-8,0.5,27,15,23,10,22,11,27,15
WSLS vs WSLS,WSLS,WSLS,A,520,0,0,0,0,0.5,25,17,25,15,25,18,24,16
WSLS vs WSLS,WSLS,WSLS,B,520,-0,-0,-0,0,0.5,25,13,25,18,24,13,25,11
WSLS vs WSLS,WSLS,WSLS,A,521,0,0,0,0,0.5,25,11,25,12,25,13,24,10
WSLS vs WSLS,WSLS,WSLS,B,521,-0,-0,-0,0,0.5,25,14,25,9,24,17,25,15
WSLS vs WSLS,WSLS,WSLS,A,522,0,0,0,0,0.5,25,18,25,15,25,14,24,15
WSLS vs WSLS,WSLS,WSLS,B,522,-0,-0,-0,0,0.5,25,11,25,11,24,14,25,16
WSLS vs WSLS,WSLS,WSLS,A,523,4,-2,6,-8,0.52,24,15,26,17,27,18,22,10
WSLS vs WSLS,WSLS,WSLS,B,523,-4,-6,2,-8,0.48,26,13,24,12,22,12,27,17
WSLS vs WSLS,WSLS,WSLS,A,524,10,4,6,-2,0.55,27,14,23,10,28,15,21,10
WSLS vs WSLS,WSLS,WSLS,B,524,-10,-6,-4,-2,0.44999999999999996,23,13,27,15,21,13,28,18
WSLS vs WSLS,WSLS,WSLS,A,525,-8,-6,-2,-4,0.46,22,8,28,18,23,15,26,19
WSLS vs WSLS,WSLS,WSLS,B,525,8,2,6,-4,0.54,28,17,22,10,26,14,23,15
WSLS vs WSLS,WSLS,WSLS,A,526,-14,-6,-8,2,0.43,22,11,28,14,20,10,29,15
