pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,B,28,-10,-12,2,-14,0.44999999999999996,26,17,24,18,19,12,30,20
WSLS vs WSLS,WSLS,WSLS,A,29,-18,-8,-10,2,0.41,21,12,29,16,20,10,29,18
WSLS vs WSLS,WSLS,WSLS,B,29,18,10,8,2,0.5900000000000001,29,15,21,13,29,18,20,8
WSLS vs WSLS,WSLS,WSLS,A,30,4,2,2,0,0.52,26,16,24,15,26,16,23,5
WSLS vs WSLS,WSLS,WSLS,B,30,-4,-2,-2,0,0.48,24,16,26,14,23,13,26,18
WSLS vs WSLS,WSLS,WSLS,A,31,4,12,-8,20,0.52,31,11,19,10,21,12,28,14
WSLS vs WSLS,WSLS,WSLS,B,31,-4,8,-12,20,0.48,19,10,31,16,28,18,21,10
WSLS vs WSLS,WSLS,WSLS,A,32,4,-8,12,-20,0.52,21,11,29,16,30,20,19,14
WSLS vs WSLS,WSLS,WSLS,B,32,-4,-12,8,-20,0.48,29,15,21,11,19,13,30,20
WSLS vs WSLS,WSLS,WSLS,A,33,-2,-8,6,-14,0.49,21,10,29,23,28,12,21,12
WSLS vs WSLS,WSLS,WSLS,B,33,2,-6,8,-14,0.51,29,19,21,9,21,12,28,21
WSLS vs WSLS,WSLS,WSLS,A,34,-12,-8,-4,-4,0.44,21,12,29,20,23,11,26,14
WSLS vs WSLS,WSLS,WSLS,B,34,12,4,8,-4,0.56,29,17,21,14,26,18,23,17
WSLS vs WSLS,WSLS,WSLS,A,35,12,14,-2,16,0.56,32,18,18,10,23,15,26,18
WSLS vs WSLS,WSLS,WSLS,B,35,-12,2,-14,16,0.43999999999999995,18,12,32,19,26,12,23,11
WSLS vs WSLS,WSLS,WSLS,A,36,-18,-12,-6,-6,0.41,19,9,31,19,22,13,27,17
WSLS vs WSLS,WSLS,WSLS,B,36,18,6,12,-6,0.5900000000000001,31,18,19,10,27,13,22,8
WSLS vs WSLS,WSLS,WSLS,A,37,-12,-12,0,-12,0.44,19,13,31,19,25,13,24,15
WSLS vs WSLS,WSLS,WSLS,B,37,12,-0,12,-12,0.56,31,18,19,10,24,12,25,17
WSLS vs WSLS,WSLS,WSLS,A,38,-4,-8,4,-12,0.48,21,12,29,16,26,11,23,15
WSLS vs WSLS,WSLS,WSLS,B,38,4,-4,8,-12,0.52,29,15,21,9,23,11,26,18
WSLS vs WSLS,WSLS,WSLS,A,39,-20,0,-20,20,0.4,25,15,25,9,15,10,34,22
WSLS vs WSLS,WSLS,WSLS,B,39,20,20,-0,20,0.6,25,12,25,15,34,18,15,10
WSLS vs WSLS,WSLS,WSLS,A,40,-8,-12,4,-16,0.46,19,8,31,15,27,17,22,13
WSLS vs WSLS,WSLS,WSLS,B,40,8,-4,12,-16,0.54,31,20,19,11,22,15,27,17
WSLS vs WSLS,WSLS,WSLS,A,41,0,8,-8,16,0.5,29,17,21,13,21,11,28,12
WSLS vs WSLS,WSLS,WSLS,B,41,-0,8,-8,16,0.5,21,10,29,16,28,20,21,9
WSLS vs WSLS,WSLS,WSLS,A,42,14,6,8,-2,0.57,28,13,22,7,28,15,21,14
WSLS vs WSLS,WSLS,WSLS,B,42,-14,-8,-6,-2,0.43000000000000005,22,10,28,17,21,11,28,14
WSLS vs WSLS,WSLS,WSLS,A,43,2,2,0,2,0.51,26,14,24,17,25,11,24,15
WSLS vs WSLS,WSLS,WSLS,B,43,-2,-0,-2,2,0.49,24,14,26,16,24,13,25,16
WSLS vs WSLS,WSLS,WSLS,A,44,4,-2,6,-8,0.52,24,11,26,13,28,18,21,14
WSLS vs WSLS,WSLS,WSLS,B,44,-4,-6,2,-8,0.48,26,13,24,13,21,11,28,13
WSLS vs WSLS,WSLS,WSLS,A,45,6,-2,8,-10,0.53,24,14,26,12,28,20,21,11
WSLS vs WSLS,WSLS,WSLS,B,45,-6,-8,2,-10,0.47,26,14,24,16,21,10,28,13
WSLS vs WSLS,WSLS,WSLS,A,46,4,4,0,4,0.52,27,16,23,7,25,13,24,10
WSLS vs WSLS,WSLS,WSLS,B,46,-4,-0,-4,4,0.48,23,15,27,10,24,14,25,16
WSLS vs WSLS,WSLS,WSLS,A,47,-4,2,-6,8,0.48,26,16,24,12,22,12,27,15
WSLS vs WSLS,WSLS,WSLS,B,47,4,6,-2,8,0.52,24,14,26,20,27,17,22,12
WSLS vs WSLS,WSLS,WSLS,A,48,-10,-4,-6,2,0.45,23,12,27,15,22,11,27,16
WSLS vs WSLS,WSLS,WSLS,B,48,10,6,4,2,0.55,27,13,23,15,27,23,22,9
WSLS vs WSLS,WSLS,WSLS,A,49,-2,2,-4,6,0.49,26,20,24,10,22,13,27,16
WSLS vs WSLS,WSLS,WSLS,B,49,2,4,-2,6,0.51,24,14,26,10,27,17,22,10
WSLS vs WSLS,WSLS,WSLS,A,50,-4,-2,-2,0,0.48,24,14,26,13,24,15,25,16
WSLS vs WSLS,WSLS,WSLS,B,50,4,2,2,0,0.52,26,10,24,15,25,16,24,13
WSLS vs WSLS,WSLS,WSLS,A,51,4,0,4,-4,0.52,25,16,25,13,26,13,23,17
WSLS vs WSLS,WSLS,WSLS,B,51,-4,-4,-0,-4,0.48,25,16,25,12,23,15,26,10
WSLS vs WSLS,WSLS,WSLS,A,52,-10,-10,0,-10,0.45,20,11,30,16,24,13,25,13
WSLS vs WSLS,WSLS,WSLS,B,52,10,-0,10,-10,0.55,30,16,20,12,25,13,24,12
WSLS vs WSLS,WSLS,WSLS,A,53,2,2,0,2,0.51,26,16,24,12,24,13,25,17
WSLS vs WSLS,WSLS,WSLS,B,53,-2,-0,-2,2,0.49,24,11,26,14,25,15,24,13
WSLS vs WSLS,WSLS,WSLS,A,54,24,14,10,4,0.62,32,17,18,7,30,18,19,9
WSLS vs WSLS,WSLS,WSLS,B,54,-24,-10,-14,4,0.38,18,14,32,15,19,7,30,15
WSLS vs WSLS,WSLS,WSLS,A,55,8,-2,10,-12,0.54,24,13,26,9,30,16,19,14
WSLS vs WSLS,WSLS,WSLS,B,55,-8,-10,2,-12,0.45999999999999996,26,9,24,9,19,14,30,16
WSLS vs WSLS,WSLS,WSLS,A,56,-8,2,-10,12,0.46,26,14,24,11,20,12,29,14
WSLS vs WSLS,WSLS,WSLS,B,56,8,10,-2,12,0.54,24,16,26,15,29,15,20,13
WSLS vs WSLS,WSLS,WSLS,A,57,14,4,10,-6,0.57,27,16,23,13,30,12,19,13
WSLS vs WSLS,WSLS,WSLS,B,57,-14,-10,-4,-6,0.43000000000000005,23,10,27,8,19,12,30,13
WSLS vs WSLS,WSLS,WSLS,A,58,0,-4,4,-8,0.5,23,11,27,9,27,18,22,11
WSLS vs WSLS,WSLS,WSLS,B,58,-0,-4,4,-8,0.5,27,16,23,13,22,13,27,16
WSLS vs WSLS,WSLS,WSLS,A,59,4,-8,12,-20,0.52,21,10,29,16,30,20,19,13
WSLS vs WSLS,WSLS,WSLS,B,59,-4,-12,8,-20,0.48,29,12,21,14,19,14,30,17
WSLS vs WSLS,WSLS,WSLS,A,60,-8,-2,-6,4,0.46,24,12,26,13,22,8,27,15
WSLS vs WSLS,WSLS,WSLS,B,60,8,6,2,4,0.54,26,12,24,14,27,16,22,15
WSLS vs WSLS,WSLS,WSLS,A,61,-6,6,-12,18,0.47,28,13,22,12,18,13,31,19
WSLS vs WSLS,WSLS,WSLS,B,61,6,12,-6,18,0.53,22,11,28,17,31,15,18,10
WSLS vs WSLS,WSLS,WSLS,A,62,-14,-6,-8,2,0.43,22,14,28,16,20,12,29,17
WSLS vs WSLS,WSLS,WSLS,B,62,14,8,6,2,0.5700000000000001,28,13,22,13,29,15,20,13
WSLS vs WSLS,WSLS,WSLS,A,63,0,0,0,0,0.5,25,14,25,12,24,13,25,17
WSLS vs WSLS,WSLS,WSLS,B,63,-0,-0,-0,0,0.5,25,11,25,15,25,12,24,12
WSLS vs WSLS,WSLS,WSLS,A,64,-14,-10,-4,-6,0.43,20,13,30,16,22,15,27,13
WSLS vs WSLS,WSLS,WSLS,B,64,14,4,10,-6,0.5700000000000001,30,15,20,10,27,14,22,11
WSLS vs WSLS,WSLS,WSLS,A,65,0,-4,4,-8,0.5,23,14,27,19,27,14,22,13
WSLS vs WSLS,WSLS,WSLS,B,65,-0,-4,4,-8,0.5,27,15,23,13,22,16,27,11
WSLS vs WSLS,WSLS,WSLS,A,66,-10,0,-10,10,0.45,25,14,25,8,20,9,29,19
WSLS vs WSLS,WSLS,WSLS,B,66,10,10,-0,10,0.55,25,15,25,10,29,19,20,13
