subject,mean,lo,hi,true
1,0.738696786375,0.55925782825,0.96353425475,0.81705611
2,0.72170733056,0.53319772575,0.9600635614999999,0.81705611
3,0.690592966815,0.46042198025,0.94726555625,0.81705611
4,0.72500621011,0.5369067975,0.9623241819999998,0.81705611
5,0.704390553907,0.49978368825,0.955270602,0.81705611
6,0.732260262725,0.54829444375,0.9574884469999998,0.81705611
7,0.73446924408,0.5480955887500001,0.9610062897500001,0.81705611
8,0.70056751908,0.49795148075,0.94860856775,0.81705611
9,0.684706072357,0.426090025,0.943104144,0.81705611
10,0.686352893275,0.45223276349999997,0.94671297275,0.81705611
11,0.732709089195,0.5483031235,0.9681789619999999,0.81705611
12,0.6829823553215,0.43119683,0.9446866792499999,0.81705611
13,0.74271826851,0.5583430622500001,0.9680554662499999,0.81705611
14,0.726320149145,0.5454615365,0.9530652909999999,0.81705611
15,0.723431969145,0.53917011925,0.95899891575,0.81705611
16,0.73306284752,0.54962506,0.9626242317499999,0.81705611
17,0.735388907075,0.554672794,0.95965167475,0.81705611
18,0.73504394595,0.553149581,0.96067020325,0.81705611
19,0.74366494623,0.5626917475,0.9645039317499999,0.81705611
20,0.72767585372,0.5451001080000001,0.9583964239999999,0.81705611
21,0.6914646027925,0.46171619525,0.9485080305,0.81705611
22,0.71000954231,0.5224266335,0.9494858607500001,0.81705611
23,0.722202293475,0.5388707825,0.9607083597499999,0.81705611
24,0.6871044762455,0.44967925875000003,0.9444509935000001,0.81705611
25,0.70500913608,0.5100834635,0.949305259,0.81705611
