subject,mean,lo,hi,true
1,2.074727670985,0.8827861887499999,8.284736917499998,1.1659687
2,1.93397353753,0.819310849,8.124936714999986,1.1659687
3,2.418379211375,0.8564843835,7.5985587,1.1659687
4,1.9615471238,0.84351246825,8.154981937499997,1.1659687
5,1.92374041738,0.8639727932500001,8.246653567499983,1.1659687
6,1.65241146636,0.75978185725,6.19555584,1.1659687
7,2.07097415596,0.8630998374999999,7.990993152499995,1.1659687
8,2.120873431905,0.8914857340000001,8.125632599999985,1.1659687
9,1.98416599338,0.887837679,8.842896944999985,1.1659687
10,2.12226264099,0.836196157,8.66205001499999,1.1659687
11,2.1510321223,0.8461089919999999,8.141348807499996,1.1659687
12,1.897258225,0.82912527275,6.828706179999983,1.1659687
13,2.11668355005,0.89816442775,9.416535997499999,1.1659687
14,1.872929410545,0.8715875117499999,7.750144324999993,1.1659687
15,1.77920175603,0.8221208432500001,6.983034639999977,1.1659687
16,1.75524061989,0.76678163825,6.8174126074999934,1.1659687
17,1.85895003701,0.8380744985,7.582341449999986,1.1659687
18,1.774445375225,0.8396118815,6.897085647499987,1.1659687
19,2.069714309075,0.877680861,9.861504102499996,1.1659687
20,2.066751686205,0.88317620825,7.762684869999999,1.1659687
21,1.961759761895,0.87036811975,8.0909894,1.1659687
22,1.747380736905,0.83328177325,6.913377604999984,1.1659687
23,2.182629437385,0.8664128505,9.103373109999998,1.1659687
24,1.894466502125,0.8443638685,6.529537019999993,1.1659687
25,1.934785846575,0.85040633275,7.666342344999992,1.1659687
