pairing,A,B,mean,lo,hi
WSLS vs WSLS,WSLS,WSLS,0.13,-0.6939999999999998,0.9475833333333324
WSLS vs kToM,WSLS,kToM,-5.37,-6.170249999999999,-4.6033333333333335
kToM vs WSLS,kToM,WSLS,6.14,5.2891666666666675,7.040166666666666
kToM vs kToM,kToM,kToM,-0.24666666666666667,-0.8974166666666664,0.36008333333333326
