pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs WSLS,WSLS,WSLS,377,2,14,-12,-26,0.51
WSLS vs WSLS,WSLS,WSLS,378,10,12,-2,-14,0.55
WSLS vs WSLS,WSLS,WSLS,379,-4,6,-10,-16,0.48
WSLS vs WSLS,WSLS,WSLS,380,8,2,6,4,0.54
WSLS vs WSLS,WSLS,WSLS,381,-14,6,-20,-26,0.43
WSLS vs WSLS,WSLS,WSLS,382,18,4,14,10,0.59
WSLS vs WSLS,WSLS,WSLS,383,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,384,-10,-6,-4,2,0.45
WSLS vs WSLS,WSLS,WSLS,385,-18,-18,0,18,0.41
WSLS vs WSLS,WSLS,WSLS,386,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,387,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,388,20,14,6,-8,0.6
WSLS vs WSLS,WSLS,WSLS,389,-10,-8,-2,6,0.45
WSLS vs WSLS,WSLS,WSLS,390,2,8,-6,-14,0.51
WSLS vs WSLS,WSLS,WSLS,391,20,6,14,8,0.6
WSLS vs WSLS,WSLS,WSLS,392,4,-6,10,16,0.52
WSLS vs WSLS,WSLS,WSLS,393,4,-6,10,16,0.52
WSLS vs WSLS,WSLS,WSLS,394,12,4,8,4,0.56
WSLS vs WSLS,WSLS,WSLS,395,12,8,4,-4,0.56
WSLS vs WSLS,WSLS,WSLS,396,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,397,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,398,10,10,0,-10,0.55
WSLS vs WSLS,WSLS,WSLS,399,10,16,-6,-22,0.55
WSLS vs WSLS,WSLS,WSLS,400,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,401,-14,-12,-2,10,0.43
WSLS vs WSLS,WSLS,WSLS,402,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,403,2,-4,6,10,0.51
WSLS vs WSLS,WSLS,WSLS,404,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,405,0,14,-14,-28,0.5
WSLS vs WSLS,WSLS,WSLS,406,10,2,8,6,0.55
WSLS vs WSLS,WSLS,WSLS,407,14,-4,18,22,0.57
WSLS vs WSLS,WSLS,WSLS,408,-6,-2,-4,-2,0.47
WSLS vs WSLS,WSLS,WSLS,409,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,410,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,411,-18,-12,-6,6,0.41
WSLS vs WSLS,WSLS,WSLS,412,0,-2,2,4,0.5
WSLS vs WSLS,WSLS,WSLS,413,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,414,0,-6,6,12,0.5
WSLS vs WSLS,WSLS,WSLS,415,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,416,-14,-8,-6,2,0.43
WSLS vs WSLS,WSLS,WSLS,417,-6,-2,-4,-2,0.47
WSLS vs WSLS,WSLS,WSLS,418,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,419,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,420,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,421,0,4,-4,-8,0.5
WSLS vs WSLS,WSLS,WSLS,422,20,6,14,8,0.6
WSLS vs WSLS,WSLS,WSLS,423,-10,-4,-6,-2,0.45
WSLS vs WSLS,WSLS,WSLS,424,-16,-2,-14,-12,0.42
WSLS vs WSLS,WSLS,WSLS,425,-4,4,-8,-12,0.48
WSLS vs WSLS,WSLS,WSLS,426,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,427,14,10,4,-6,0.57
WSLS vs WSLS,WSLS,WSLS,428,-6,2,-8,-10,0.47
WSLS vs WSLS,WSLS,WSLS,429,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,430,-16,-4,-12,-8,0.42
WSLS vs WSLS,WSLS,WSLS,431,-2,-10,8,18,0.49
WSLS vs WSLS,WSLS,WSLS,432,-6,-4,-2,2,0.47
WSLS vs WSLS,WSLS,WSLS,433,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,434,18,8,10,2,0.59
WSLS vs WSLS,WSLS,WSLS,435,-12,-4,-8,-4,0.44
WSLS vs WSLS,WSLS,WSLS,436,-4,4,-8,-12,0.48
WSLS vs WSLS,WSLS,WSLS,437,-12,-2,-10,-8,0.44
WSLS vs WSLS,WSLS,WSLS,438,14,2,12,10,0.57
WSLS vs WSLS,WSLS,WSLS,439,12,10,2,-8,0.56
WSLS vs WSLS,WSLS,WSLS,440,16,12,4,-8,0.58
WSLS vs WSLS,WSLS,WSLS,441,-12,-4,-8,-4,0.44
WSLS vs WSLS,WSLS,WSLS,442,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,443,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,444,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,445,12,8,4,-4,0.56
WSLS vs WSLS,WSLS,WSLS,446,-6,-8,2,10,0.47
WSLS vs WSLS,WSLS,WSLS,447,-4,-8,4,12,0.48
WSLS vs WSLS,WSLS,WSLS,448,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,449,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,450,-2,6,-8,-14,0.49
WSLS vs WSLS,WSLS,WSLS,451,12,-4,16,20,0.56
WSLS vs WSLS,WSLS,WSLS,452,-4,-8,4,12,0.48
WSLS vs WSLS,WSLS,WSLS,453,-14,-8,-6,2,0.43
WSLS vs WSLS,WSLS,WSLS,454,-2,-6,4,10,0.49
WSLS vs WSLS,WSLS,WSLS,455,-16,-2,-14,-12,0.42
WSLS vs WSLS,WSLS,WSLS,456,-2,-4,2,6,0.49
WSLS vs WSLS,WSLS,WSLS,457,16,0,16,16,0.58
WSLS vs WSLS,WSLS,WSLS,458,12,2,10,8,0.56
WSLS vs WSLS,WSLS,WSLS,459,-12,-10,-2,8,0.44
WSLS vs WSLS,WSLS,WSLS,460,-4,-6,2,8,0.48
WSLS vs WSLS,WSLS,WSLS,461,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,462,-2,-10,8,18,0.49
WSLS vs WSLS,WSLS,WSLS,463,2,6,-4,-10,0.51
WSLS vs WSLS,WSLS,WSLS,464,6,-2,8,10,0.53
WSLS vs WSLS,WSLS,WSLS,465,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,466,-4,0,-4,-4,0.48
WSLS vs WSLS,WSLS,WSLS,467,-4,0,-4,-4,0.48
WSLS vs WSLS,WSLS,WSLS,468,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,469,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,470,-12,-6,-6,0,0.44
WSLS vs WSLS,WSLS,WSLS,471,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,472,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,473,4,-2,6,8,0.52
WSLS vs WSLS,WSLS,WSLS,474,14,6,8,2,0.57
WSLS vs WSLS,WSLS,WSLS,475,10,10,0,-10,0.55
WSLS vs WSLS,WSLS,WSLS,476,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,477,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,478,-4,-16,12,28,0.48
WSLS vs WSLS,WSLS,WSLS,479,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,480,-8,-12,4,16,0.46
WSLS vs WSLS,WSLS,WSLS,481,20,12,8,-4,0.6
WSLS vs WSLS,WSLS,WSLS,482,14,12,2,-10,0.57
WSLS vs WSLS,WSLS,WSLS,483,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,484,14,10,4,-6,0.57
WSLS vs WSLS,WSLS,WSLS,485,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,486,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,487,22,10,12,2,0.61
WSLS vs WSLS,WSLS,WSLS,488,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,489,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,490,-12,4,-16,-20,0.44
WSLS vs WSLS,WSLS,WSLS,491,-6,-8,2,10,0.47
WSLS vs WSLS,WSLS,WSLS,492,-8,4,-12,-16,0.46
WSLS vs WSLS,WSLS,WSLS,493,14,16,-2,-18,0.57
WSLS vs WSLS,WSLS,WSLS,494,-10,2,-12,-14,0.45
WSLS vs WSLS,WSLS,WSLS,495,-14,-10,-4,6,0.43
WSLS vs WSLS,WSLS,WSLS,496,16,10,6,-4,0.58
WSLS vs WSLS,WSLS,WSLS,497,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,498,4,-6,10,16,0.52
WSLS vs WSLS,WSLS,WSLS,499,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,500,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,501,8,8,0,-8,0.54
WSLS vs WSLS,WSLS,WSLS,502,24,16,8,-8,0.62
WSLS vs WSLS,WSLS,WSLS,503,14,0,14,14,0.57
WSLS vs WSLS,WSLS,WSLS,504,8,10,-2,-12,0.54
WSLS vs WSLS,WSLS,WSLS,505,16,4,12,8,0.58
WSLS vs WSLS,WSLS,WSLS,506,-12,-14,2,16,0.44
WSLS vs WSLS,WSLS,WSLS,507,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,508,-10,-6,-4,2,0.45
WSLS vs WSLS,WSLS,WSLS,509,-8,2,-10,-12,0.46
WSLS vs WSLS,WSLS,WSLS,510,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,511,-2,-6,4,10,0.49
WSLS vs WSLS,WSLS,WSLS,512,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,513,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,514,-2,-6,4,10,0.49
WSLS vs WSLS,WSLS,WSLS,515,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,516,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,517,-18,-4,-14,-10,0.41
WSLS vs WSLS,WSLS,WSLS,518,8,10,-2,-12,0.54
WSLS vs WSLS,WSLS,WSLS,519,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,520,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,521,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,522,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,523,4,-2,6,8,0.52
WSLS vs WSLS,WSLS,WSLS,524,10,4,6,2,0.55
WSLS vs WSLS,WSLS,WSLS,525,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,526,-14,-6,-8,-2,0.43
WSLS vs WSLS,WSLS,WSLS,527,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,528,-18,2,-20,-22,0.41
WSLS vs WSLS,WSLS,WSLS,529,12,2,10,8,0.56
WSLS vs WSLS,WSLS,WSLS,530,12,0,12,12,0.56
WSLS vs WSLS,WSLS,WSLS,531,-28,-10,-18,-8,0.36
WSLS vs WSLS,WSLS,WSLS,532,20,-2,22,24,0.6
WSLS vs WSLS,WSLS,WSLS,533,-24,-20,-4,16,0.38
WSLS vs WSLS,WSLS,WSLS,534,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,535,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,536,-10,4,-14,-18,0.45
WSLS vs WSLS,WSLS,WSLS,537,-2,-10,8,18,0.49
WSLS vs WSLS,WSLS,WSLS,538,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,539,-2,-4,2,6,0.49
WSLS vs WSLS,WSLS,WSLS,540,-12,0,-12,-12,0.44
WSLS vs WSLS,WSLS,WSLS,541,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,542,10,12,-2,-14,0.55
WSLS vs WSLS,WSLS,WSLS,543,10,6,4,-2,0.55
WSLS vs WSLS,WSLS,WSLS,544,-24,-10,-14,-4,0.38
WSLS vs WSLS,WSLS,WSLS,545,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,546,-16,-12,-4,8,0.42
WSLS vs WSLS,WSLS,WSLS,547,-8,-4,-4,0,0.46
WSLS vs WSLS,WSLS,WSLS,548,10,6,4,-2,0.55
WSLS vs WSLS,WSLS,WSLS,549,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,550,0,10,-10,-20,0.5
WSLS vs WSLS,WSLS,WSLS,551,-6,2,-8,-10,0.47
WSLS vs WSLS,WSLS,WSLS,552,8,0,8,8,0.54
WSLS vs WSLS,WSLS,WSLS,553,-4,6,-10,-16,0.48
WSLS vs WSLS,WSLS,WSLS,554,20,10,10,0,0.6
WSLS vs WSLS,WSLS,WSLS,555,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,556,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,557,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,558,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,559,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,560,-10,0,-10,-10,0.45
WSLS vs WSLS,WSLS,WSLS,561,2,10,-8,-18,0.51
WSLS vs WSLS,WSLS,WSLS,562,4,6,-2,-8,0.52
WSLS vs WSLS,WSLS,WSLS,563,-8,2,-10,-12,0.46
WSLS vs WSLS,WSLS,WSLS,564,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,565,4,14,-10,-24,0.52
WSLS vs WSLS,WSLS,WSLS,566,18,10,8,-2,0.59
WSLS vs WSLS,WSLS,WSLS,567,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,568,-16,0,-16,-16,0.42
WSLS vs WSLS,WSLS,WSLS,569,-2,6,-8,-14,0.49
WSLS vs WSLS,WSLS,WSLS,570,-4,-8,4,12,0.48
WSLS vs WSLS,WSLS,WSLS,571,-14,-8,-6,2,0.43
WSLS vs WSLS,WSLS,WSLS,572,12,6,6,0,0.56
WSLS vs WSLS,WSLS,WSLS,573,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,574,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,575,2,10,-8,-18,0.51
WSLS vs WSLS,WSLS,WSLS,576,0,8,-8,-16,0.5
WSLS vs WSLS,WSLS,WSLS,577,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,578,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,579,20,14,6,-8,0.6
WSLS vs WSLS,WSLS,WSLS,580,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,581,24,6,18,12,0.62
WSLS vs WSLS,WSLS,WSLS,582,8,2,6,4,0.54
WSLS vs WSLS,WSLS,WSLS,583,4,-10,14,24,0.52
WSLS vs WSLS,WSLS,WSLS,584,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,585,16,-4,20,24,0.58
WSLS vs WSLS,WSLS,WSLS,586,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,587,-12,-8,-4,4,0.44
WSLS vs WSLS,WSLS,WSLS,588,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,589,6,12,-6,-18,0.53
WSLS vs WSLS,WSLS,WSLS,590,-10,-10,0,10,0.45
WSLS vs WSLS,WSLS,WSLS,591,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,592,8,-4,12,16,0.54
WSLS vs WSLS,WSLS,WSLS,593,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,594,6,8,-2,-10,0.53
WSLS vs WSLS,WSLS,WSLS,595,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,596,10,-2,12,14,0.55
WSLS vs WSLS,WSLS,WSLS,597,16,8,8,0,0.58
WSLS vs WSLS,WSLS,WSLS,598,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,599,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,600,6,-6,12,18,0.53
WSLS vs kToM,WSLS,kToM,1,-18,-16,-2,14,0.41
WSLS vs kToM,WSLS,kToM,2,-8,-6,-2,4,0.46
WSLS vs kToM,WSLS,kToM,3,12,6,6,0,0.56
WSLS vs kToM,WSLS,kToM,4,-10,0,-10,-10,0.45
WSLS vs kToM,WSLS,kToM,5,-16,-12,-4,8,0.42
WSLS vs kToM,WSLS,kToM,6,12,10,2,-8,0.56
WSLS vs kToM,WSLS,kToM,7,0,0,0,0,0.5
WSLS vs kToM,WSLS,kToM,8,2,-4,6,10,0.51
WSLS vs kToM,WSLS,kToM,9,-12,-4,-8,-4,0.44
WSLS vs kToM,WSLS,kToM,10,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,11,6,-2,8,10,0.53
WSLS vs kToM,WSLS,kToM,12,-2,-8,6,14,0.49
WSLS vs kToM,WSLS,kToM,13,2,6,-4,-10,0.51
WSLS vs kToM,WSLS,kToM,14,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,15,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,16,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,17,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,18,4,8,-4,-12,0.52
WSLS vs kToM,WSLS,kToM,19,4,0,4,4,0.52
WSLS vs kToM,WSLS,kToM,20,-28,-22,-6,16,0.36
WSLS vs kToM,WSLS,kToM,21,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,22,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,23,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,24,-12,-2,-10,-8,0.44
WSLS vs kToM,WSLS,kToM,25,10,12,-2,-14,0.55
WSLS vs kToM,WSLS,kToM,26,0,14,-14,-28,0.5
WSLS vs kToM,WSLS,kToM,27,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,28,-14,-6,-8,-2,0.43
WSLS vs kToM,WSLS,kToM,29,-2,4,-6,-10,0.49
WSLS vs kToM,WSLS,kToM,30,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,31,12,6,6,0,0.56
WSLS vs kToM,WSLS,kToM,32,14,6,8,2,0.57
WSLS vs kToM,WSLS,kToM,33,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,34,-14,-8,-6,2,0.43
WSLS vs kToM,WSLS,kToM,35,0,0,0,0,0.5
WSLS vs kToM,WSLS,kToM,36,-14,-20,6,26,0.43
WSLS vs kToM,WSLS,kToM,37,4,0,4,4,0.52
WSLS vs kToM,WSLS,kToM,38,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,39,8,-2,10,12,0.54
WSLS vs kToM,WSLS,kToM,40,2,-2,4,6,0.51
WSLS vs kToM,WSLS,kToM,41,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,42,-28,-4,-24,-20,0.36
WSLS vs kToM,WSLS,kToM,43,-4,-8,4,12,0.48
WSLS vs kToM,WSLS,kToM,44,-8,4,-12,-16,0.46
WSLS vs kToM,WSLS,kToM,45,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,46,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,47,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,48,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,49,-14,-4,-10,-6,0.43
WSLS vs kToM,WSLS,kToM,50,-8,-6,-2,4,0.46
WSLS vs kToM,WSLS,kToM,51,-10,-4,-6,-2,0.45
WSLS vs kToM,WSLS,kToM,52,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,53,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,54,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,55,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,56,-6,-12,6,18,0.47
WSLS vs kToM,WSLS,kToM,57,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,58,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,59,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,60,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,61,-12,-2,-10,-8,0.44
WSLS vs kToM,WSLS,kToM,62,-4,6,-10,-16,0.48
WSLS vs kToM,WSLS,kToM,63,-16,2,-18,-20,0.42
WSLS vs kToM,WSLS,kToM,64,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,65,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,66,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,67,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,68,10,14,-4,-18,0.55
WSLS vs kToM,WSLS,kToM,69,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,70,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,71,-10,-14,4,18,0.45
WSLS vs kToM,WSLS,kToM,72,-14,-4,-10,-6,0.43
WSLS vs kToM,WSLS,kToM,73,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,74,-16,-6,-10,-4,0.42
WSLS vs kToM,WSLS,kToM,75,-2,6,-8,-14,0.49
WSLS vs kToM,WSLS,kToM,76,-10,0,-10,-10,0.45
WSLS vs kToM,WSLS,kToM,77,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,78,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,79,4,14,-10,-24,0.52
WSLS vs kToM,WSLS,kToM,80,4,-4,8,12,0.52
WSLS vs kToM,WSLS,kToM,81,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,82,-18,-2,-16,-14,0.41
WSLS vs kToM,WSLS,kToM,83,-16,-10,-6,4,0.42
WSLS vs kToM,WSLS,kToM,84,14,10,4,-6,0.57
WSLS vs kToM,WSLS,kToM,85,4,6,-2,-8,0.52
WSLS vs kToM,WSLS,kToM,86,12,8,4,-4,0.56
WSLS vs kToM,WSLS,kToM,87,8,4,4,0,0.54
WSLS vs kToM,WSLS,kToM,88,-24,-16,-8,8,0.38
WSLS vs kToM,WSLS,kToM,89,-20,-14,-6,8,0.4
WSLS vs kToM,WSLS,kToM,90,2,0,2,2,0.51
WSLS vs kToM,WSLS,kToM,91,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,92,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,93,-16,2,-18,-20,0.42
WSLS vs kToM,WSLS,kToM,94,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,95,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,96,10,0,10,10,0.55
WSLS vs kToM,WSLS,kToM,97,-30,-12,-18,-6,0.35
WSLS vs kToM,WSLS,kToM,98,-8,-8,0,8,0.46
WSLS vs kToM,WSLS,kToM,99,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,100,6,10,-4,-14,0.53
WSLS vs kToM,WSLS,kToM,101,-16,-6,-10,-4,0.42
WSLS vs kToM,WSLS,kToM,102,8,12,-4,-16,0.54
WSLS vs kToM,WSLS,kToM,103,4,-2,6,8,0.52
WSLS vs kToM,WSLS,kToM,104,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,105,-14,-10,-4,6,0.43
WSLS vs kToM,WSLS,kToM,106,8,4,4,0,0.54
WSLS vs kToM,WSLS,kToM,107,0,-2,2,4,0.5
WSLS vs kToM,WSLS,kToM,108,-2,4,-6,-10,0.49
WSLS vs kToM,WSLS,kToM,109,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,110,-28,-12,-16,-4,0.36
WSLS vs kToM,WSLS,kToM,111,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,112,-8,6,-14,-20,0.46
WSLS vs kToM,WSLS,kToM,113,0,-2,2,4,0.5
WSLS vs kToM,WSLS,kToM,114,4,8,-4,-12,0.52
WSLS vs kToM,WSLS,kToM,115,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,116,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,117,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,118,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,119,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,120,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,121,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,122,-2,-10,8,18,0.49
WSLS vs kToM,WSLS,kToM,123,-22,-22,0,22,0.39
WSLS vs kToM,WSLS,kToM,124,4,8,-4,-12,0.52
WSLS vs kToM,WSLS,kToM,125,18,12,6,-6,0.59
WSLS vs kToM,WSLS,kToM,126,-18,-10,-8,2,0.41
WSLS vs kToM,WSLS,kToM,127,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,128,-10,-4,-6,-2,0.45
WSLS vs kToM,WSLS,kToM,129,8,2,6,4,0.54
WSLS vs kToM,WSLS,kToM,130,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,131,-18,-2,-16,-14,0.41
WSLS vs kToM,WSLS,kToM,132,-2,4,-6,-10,0.49
WSLS vs kToM,WSLS,kToM,133,14,2,12,10,0.57
WSLS vs kToM,WSLS,kToM,134,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,135,6,6,0,-6,0.53
WSLS vs kToM,WSLS,kToM,136,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,137,-24,-12,-12,0,0.38
WSLS vs kToM,WSLS,kToM,138,-4,2,-6,-8,0.48
WSLS vs kToM,WSLS,kToM,139,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,140,-14,-12,-2,10,0.43
WSLS vs kToM,WSLS,kToM,141,-20,-10,-10,0,0.4
WSLS vs kToM,WSLS,kToM,142,12,10,2,-8,0.56
WSLS vs kToM,WSLS,kToM,143,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,144,-14,2,-16,-18,0.43
WSLS vs kToM,WSLS,kToM,145,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,146,20,6,14,8,0.6
WSLS vs kToM,WSLS,kToM,147,0,0,0,0,0.5
WSLS vs kToM,WSLS,kToM,148,8,0,8,8,0.54
WSLS vs kToM,WSLS,kToM,149,-16,-6,-10,-4,0.42
WSLS vs kToM,WSLS,kToM,150,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,151,-4,4,-8,-12,0.48
WSLS vs kToM,WSLS,kToM,152,-26,-8,-18,-10,0.37
WSLS vs kToM,WSLS,kToM,153,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,154,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,155,4,2,2,0,0.52
WSLS vs kToM,WSLS,kToM,156,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,157,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,158,0,-4,4,8,0.5
WSLS vs kToM,WSLS,kToM,159,20,16,4,-12,0.6
WSLS vs kToM,WSLS,kToM,160,-24,-6,-18,-12,0.38
WSLS vs kToM,WSLS,kToM,161,0,2,-2,-4,0.5
