pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs WSLS,WSLS,WSLS,86,12,-6,18,24,0.56
WSLS vs WSLS,WSLS,WSLS,87,-6,-14,8,22,0.47
WSLS vs WSLS,WSLS,WSLS,88,4,-4,8,12,0.52
WSLS vs WSLS,WSLS,WSLS,89,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,90,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,91,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,92,26,8,18,10,0.63
WSLS vs WSLS,WSLS,WSLS,93,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,94,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,95,-12,0,-12,-12,0.44
WSLS vs WSLS,WSLS,WSLS,96,2,6,-4,-10,0.51
WSLS vs WSLS,WSLS,WSLS,97,4,-6,10,16,0.52
WSLS vs WSLS,WSLS,WSLS,98,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,99,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,100,-4,0,-4,-4,0.48
WSLS vs WSLS,WSLS,WSLS,101,-12,-4,-8,-4,0.44
WSLS vs WSLS,WSLS,WSLS,102,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,103,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,104,12,8,4,-4,0.56
WSLS vs WSLS,WSLS,WSLS,105,14,-2,16,18,0.57
WSLS vs WSLS,WSLS,WSLS,106,-8,0,-8,-8,0.46
WSLS vs WSLS,WSLS,WSLS,107,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,108,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,109,-18,-16,-2,14,0.41
WSLS vs WSLS,WSLS,WSLS,110,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,111,-12,-2,-10,-8,0.44
WSLS vs WSLS,WSLS,WSLS,112,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,113,-2,-8,6,14,0.49
WSLS vs WSLS,WSLS,WSLS,114,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,115,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,116,0,-14,14,28,0.5
WSLS vs WSLS,WSLS,WSLS,117,-6,-4,-2,2,0.47
WSLS vs WSLS,WSLS,WSLS,118,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,119,0,-6,6,12,0.5
WSLS vs WSLS,WSLS,WSLS,120,0,-2,2,4,0.5
WSLS vs WSLS,WSLS,WSLS,121,14,12,2,-10,0.57
WSLS vs WSLS,WSLS,WSLS,122,0,4,-4,-8,0.5
WSLS vs WSLS,WSLS,WSLS,123,8,2,6,4,0.54
WSLS vs WSLS,WSLS,WSLS,124,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,125,10,0,10,10,0.55
WSLS vs WSLS,WSLS,WSLS,126,-8,4,-12,-16,0.46
WSLS vs WSLS,WSLS,WSLS,127,10,-2,12,14,0.55
WSLS vs WSLS,WSLS,WSLS,128,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,129,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,130,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,131,4,10,-6,-16,0.52
WSLS vs WSLS,WSLS,WSLS,132,6,16,-10,-26,0.53
WSLS vs WSLS,WSLS,WSLS,133,2,0,2,2,0.51
WSLS vs WSLS,WSLS,WSLS,134,0,-6,6,12,0.5
WSLS vs WSLS,WSLS,WSLS,135,-14,-8,-6,2,0.43
WSLS vs WSLS,WSLS,WSLS,136,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,137,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,138,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,139,-10,-6,-4,2,0.45
WSLS vs WSLS,WSLS,WSLS,140,-6,-2,-4,-2,0.47
WSLS vs WSLS,WSLS,WSLS,141,-16,-4,-12,-8,0.42
WSLS vs WSLS,WSLS,WSLS,142,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,143,-14,-2,-12,-10,0.43
WSLS vs WSLS,WSLS,WSLS,144,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,145,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,146,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,147,-12,-10,-2,8,0.44
WSLS vs WSLS,WSLS,WSLS,148,-4,-6,2,8,0.48
WSLS vs WSLS,WSLS,WSLS,149,0,6,-6,-12,0.5
WSLS vs WSLS,WSLS,WSLS,150,4,10,-6,-16,0.52
WSLS vs WSLS,WSLS,WSLS,151,-6,-10,4,14,0.47
WSLS vs WSLS,WSLS,WSLS,152,4,6,-2,-8,0.52
WSLS vs WSLS,WSLS,WSLS,153,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,154,-6,-2,-4,-2,0.47
WSLS vs WSLS,WSLS,WSLS,155,0,6,-6,-12,0.5
WSLS vs WSLS,WSLS,WSLS,156,12,10,2,-8,0.56
WSLS vs WSLS,WSLS,WSLS,157,-22,-10,-12,-2,0.39
WSLS vs WSLS,WSLS,WSLS,158,-20,-8,-12,-4,0.4
WSLS vs WSLS,WSLS,WSLS,159,-12,-10,-2,8,0.44
WSLS vs WSLS,WSLS,WSLS,160,-2,-6,4,10,0.49
WSLS vs WSLS,WSLS,WSLS,161,-2,-8,6,14,0.49
WSLS vs WSLS,WSLS,WSLS,162,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,163,-4,4,-8,-12,0.48
WSLS vs WSLS,WSLS,WSLS,164,12,4,8,4,0.56
WSLS vs WSLS,WSLS,WSLS,165,8,-2,10,12,0.54
WSLS vs WSLS,WSLS,WSLS,166,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,167,12,2,10,8,0.56
WSLS vs WSLS,WSLS,WSLS,168,-16,-10,-6,4,0.42
WSLS vs WSLS,WSLS,WSLS,169,14,-6,20,26,0.57
WSLS vs WSLS,WSLS,WSLS,170,16,8,8,0,0.58
WSLS vs WSLS,WSLS,WSLS,171,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,172,-4,0,-4,-4,0.48
WSLS vs WSLS,WSLS,WSLS,173,-16,-8,-8,0,0.42
WSLS vs WSLS,WSLS,WSLS,174,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,175,-16,-10,-6,4,0.42
WSLS vs WSLS,WSLS,WSLS,176,14,-4,18,22,0.57
WSLS vs WSLS,WSLS,WSLS,177,-20,-12,-8,4,0.4
WSLS vs WSLS,WSLS,WSLS,178,4,10,-6,-16,0.52
WSLS vs WSLS,WSLS,WSLS,179,-6,-8,2,10,0.47
WSLS vs WSLS,WSLS,WSLS,180,-8,-10,2,12,0.46
WSLS vs WSLS,WSLS,WSLS,181,-18,-8,-10,-2,0.41
WSLS vs WSLS,WSLS,WSLS,182,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,183,10,2,8,6,0.55
WSLS vs WSLS,WSLS,WSLS,184,-12,0,-12,-12,0.44
WSLS vs WSLS,WSLS,WSLS,185,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,186,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,187,14,8,6,-2,0.57
WSLS vs WSLS,WSLS,WSLS,188,8,-2,10,12,0.54
WSLS vs WSLS,WSLS,WSLS,189,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,190,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,191,16,8,8,0,0.58
WSLS vs WSLS,WSLS,WSLS,192,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,193,-20,-8,-12,-4,0.4
WSLS vs WSLS,WSLS,WSLS,194,26,14,12,-2,0.63
WSLS vs WSLS,WSLS,WSLS,195,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,196,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,197,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,198,-28,-16,-12,4,0.36
WSLS vs WSLS,WSLS,WSLS,199,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,200,-16,-12,-4,8,0.42
WSLS vs WSLS,WSLS,WSLS,201,4,-2,6,8,0.52
WSLS vs WSLS,WSLS,WSLS,202,-8,0,-8,-8,0.46
WSLS vs WSLS,WSLS,WSLS,203,-14,-4,-10,-6,0.43
WSLS vs WSLS,WSLS,WSLS,204,14,12,2,-10,0.57
WSLS vs WSLS,WSLS,WSLS,205,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,206,2,6,-4,-10,0.51
WSLS vs WSLS,WSLS,WSLS,207,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,208,8,-8,16,24,0.54
WSLS vs WSLS,WSLS,WSLS,209,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,210,14,0,14,14,0.57
WSLS vs WSLS,WSLS,WSLS,211,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,212,14,14,0,-14,0.57
WSLS vs WSLS,WSLS,WSLS,213,8,2,6,4,0.54
WSLS vs WSLS,WSLS,WSLS,214,12,12,0,-12,0.56
WSLS vs WSLS,WSLS,WSLS,215,10,-4,14,18,0.55
WSLS vs WSLS,WSLS,WSLS,216,-10,-6,-4,2,0.45
WSLS vs WSLS,WSLS,WSLS,217,0,4,-4,-8,0.5
WSLS vs WSLS,WSLS,WSLS,218,12,4,8,4,0.56
WSLS vs WSLS,WSLS,WSLS,219,8,2,6,4,0.54
WSLS vs WSLS,WSLS,WSLS,220,10,6,4,-2,0.55
WSLS vs WSLS,WSLS,WSLS,221,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,222,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,223,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,224,12,2,10,8,0.56
WSLS vs WSLS,WSLS,WSLS,225,-6,-10,4,14,0.47
WSLS vs WSLS,WSLS,WSLS,226,-10,0,-10,-10,0.45
WSLS vs WSLS,WSLS,WSLS,227,2,-4,6,10,0.51
WSLS vs WSLS,WSLS,WSLS,228,-12,-10,-2,8,0.44
WSLS vs WSLS,WSLS,WSLS,229,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,230,-8,0,-8,-8,0.46
WSLS vs WSLS,WSLS,WSLS,231,-2,0,-2,-2,0.49
WSLS vs WSLS,WSLS,WSLS,232,0,-2,2,4,0.5
WSLS vs WSLS,WSLS,WSLS,233,4,6,-2,-8,0.52
WSLS vs WSLS,WSLS,WSLS,234,14,4,10,6,0.57
WSLS vs WSLS,WSLS,WSLS,235,8,8,0,-8,0.54
WSLS vs WSLS,WSLS,WSLS,236,20,2,18,16,0.6
WSLS vs WSLS,WSLS,WSLS,237,10,8,2,-6,0.55
WSLS vs WSLS,WSLS,WSLS,238,12,8,4,-4,0.56
WSLS vs WSLS,WSLS,WSLS,239,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,240,4,6,-2,-8,0.52
WSLS vs WSLS,WSLS,WSLS,241,-14,-8,-6,2,0.43
WSLS vs WSLS,WSLS,WSLS,242,-4,-4,0,4,0.48
WSLS vs WSLS,WSLS,WSLS,243,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,244,0,-2,2,4,0.5
WSLS vs WSLS,WSLS,WSLS,245,0,6,-6,-12,0.5
WSLS vs WSLS,WSLS,WSLS,246,-8,2,-10,-12,0.46
WSLS vs WSLS,WSLS,WSLS,247,14,4,10,6,0.57
WSLS vs WSLS,WSLS,WSLS,248,0,-2,2,4,0.5
WSLS vs WSLS,WSLS,WSLS,249,2,-6,8,14,0.51
WSLS vs WSLS,WSLS,WSLS,250,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,251,-4,4,-8,-12,0.48
WSLS vs WSLS,WSLS,WSLS,252,-8,4,-12,-16,0.46
WSLS vs WSLS,WSLS,WSLS,253,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,254,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,255,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,256,-6,-4,-2,2,0.47
WSLS vs WSLS,WSLS,WSLS,257,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,258,18,10,8,-2,0.59
WSLS vs WSLS,WSLS,WSLS,259,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,260,0,-4,4,8,0.5
WSLS vs WSLS,WSLS,WSLS,261,-22,-6,-16,-10,0.39
WSLS vs WSLS,WSLS,WSLS,262,0,4,-4,-8,0.5
WSLS vs WSLS,WSLS,WSLS,263,12,2,10,8,0.56
WSLS vs WSLS,WSLS,WSLS,264,-14,-12,-2,10,0.43
WSLS vs WSLS,WSLS,WSLS,265,2,4,-2,-6,0.51
WSLS vs WSLS,WSLS,WSLS,266,4,-2,6,8,0.52
WSLS vs WSLS,WSLS,WSLS,267,24,18,6,-12,0.62
WSLS vs WSLS,WSLS,WSLS,268,-20,-10,-10,0,0.4
WSLS vs WSLS,WSLS,WSLS,269,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,270,-4,-14,10,24,0.48
WSLS vs WSLS,WSLS,WSLS,271,8,10,-2,-12,0.54
WSLS vs WSLS,WSLS,WSLS,272,-8,0,-8,-8,0.46
WSLS vs WSLS,WSLS,WSLS,273,-10,-2,-8,-6,0.45
WSLS vs WSLS,WSLS,WSLS,274,2,6,-4,-10,0.51
WSLS vs WSLS,WSLS,WSLS,275,4,8,-4,-12,0.52
WSLS vs WSLS,WSLS,WSLS,276,8,8,0,-8,0.54
WSLS vs WSLS,WSLS,WSLS,277,8,0,8,8,0.54
WSLS vs WSLS,WSLS,WSLS,278,8,16,-8,-24,0.54
WSLS vs WSLS,WSLS,WSLS,279,18,10,8,-2,0.59
WSLS vs WSLS,WSLS,WSLS,280,4,2,2,0,0.52
WSLS vs WSLS,WSLS,WSLS,281,-6,0,-6,-6,0.47
WSLS vs WSLS,WSLS,WSLS,282,-14,-6,-8,-2,0.43
WSLS vs WSLS,WSLS,WSLS,283,-8,-14,6,20,0.46
WSLS vs WSLS,WSLS,WSLS,284,-16,-22,6,28,0.42
WSLS vs WSLS,WSLS,WSLS,285,14,8,6,-2,0.57
WSLS vs WSLS,WSLS,WSLS,286,-14,-4,-10,-6,0.43
WSLS vs WSLS,WSLS,WSLS,287,-22,-8,-14,-6,0.39
WSLS vs WSLS,WSLS,WSLS,288,-8,0,-8,-8,0.46
WSLS vs WSLS,WSLS,WSLS,289,4,0,4,4,0.52
WSLS vs WSLS,WSLS,WSLS,290,-10,-8,-2,6,0.45
WSLS vs WSLS,WSLS,WSLS,291,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,292,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,293,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,294,20,10,10,0,0.6
WSLS vs WSLS,WSLS,WSLS,295,6,6,0,-6,0.53
WSLS vs WSLS,WSLS,WSLS,296,-4,6,-10,-16,0.48
WSLS vs WSLS,WSLS,WSLS,297,-22,-14,-8,6,0.39
WSLS vs WSLS,WSLS,WSLS,298,-8,-6,-2,4,0.46
WSLS vs WSLS,WSLS,WSLS,299,2,-4,6,10,0.51
WSLS vs WSLS,WSLS,WSLS,300,-6,-2,-4,-2,0.47
WSLS vs WSLS,WSLS,WSLS,301,-4,4,-8,-12,0.48
WSLS vs WSLS,WSLS,WSLS,302,6,2,4,2,0.53
WSLS vs WSLS,WSLS,WSLS,303,20,2,18,16,0.6
WSLS vs WSLS,WSLS,WSLS,304,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,305,-8,4,-12,-16,0.46
WSLS vs WSLS,WSLS,WSLS,306,-18,-14,-4,10,0.41
WSLS vs WSLS,WSLS,WSLS,307,8,0,8,8,0.54
WSLS vs WSLS,WSLS,WSLS,308,20,14,6,-8,0.6
WSLS vs WSLS,WSLS,WSLS,309,-10,-12,2,14,0.45
WSLS vs WSLS,WSLS,WSLS,310,0,0,0,0,0.5
WSLS vs WSLS,WSLS,WSLS,311,8,0,8,8,0.54
WSLS vs WSLS,WSLS,WSLS,312,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,313,2,-4,6,10,0.51
WSLS vs WSLS,WSLS,WSLS,314,-16,-12,-4,8,0.42
WSLS vs WSLS,WSLS,WSLS,315,10,2,8,6,0.55
WSLS vs WSLS,WSLS,WSLS,316,2,2,0,-2,0.51
WSLS vs WSLS,WSLS,WSLS,317,-4,-2,-2,0,0.48
WSLS vs WSLS,WSLS,WSLS,318,-20,-18,-2,16,0.4
WSLS vs WSLS,WSLS,WSLS,319,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,320,8,8,0,-8,0.54
WSLS vs WSLS,WSLS,WSLS,321,12,6,6,0,0.56
WSLS vs WSLS,WSLS,WSLS,322,10,-2,12,14,0.55
WSLS vs WSLS,WSLS,WSLS,323,-8,-4,-4,0,0.46
