subject,mean,lo,hi,true
1,0.1759920484048435,0.0034069245325,0.571680522,0.1219272
2,0.19805143647462,0.0038777444725,0.5924709449999999,0.1219272
3,0.1852099350312885,0.004015855190000001,0.5812063987499998,0.1219272
4,0.18533232365969501,0.0035115570950000003,0.58375264475,0.1219272
5,0.184160743833582,0.0033703948675000003,0.5806147717499999,0.1219272
6,0.2109136507928031,0.0035369250575,0.6157696564999997,0.1219272
7,0.180176654275625,0.0026071900675,0.58404883025,0.1219272
8,0.174246362028455,0.0034586575875000004,0.57390583,0.1219272
9,0.173416975741035,0.0033722516825000002,0.5691026814999999,0.1219272
10,0.19090430578747,0.0034649606325000003,0.584634105,0.1219272
11,0.188502452791195,0.004046563402500001,0.5896718952500001,0.1219272
12,0.18976747427313,0.0042766606,0.5854394494999998,0.1219272
13,0.17378600308832,0.003866898695,0.57325366,0.1219272
14,0.1816442631495285,0.0037013866050000003,0.57565983775,0.1219272
15,0.193652491880805,0.00408040485,0.5940574002499999,0.1219272
16,0.21519728589052,0.0044323932500000005,0.6141445887499999,0.1219272
17,0.190381039479095,0.0033290341575,0.59184747,0.1219272
18,0.187800229654146,0.004069704594999999,0.59465634,0.1219272
19,0.178667407237615,0.0037125115375,0.5753405679999999,0.1219272
20,0.17599304382792,0.004004982905,0.57297766000000006,0.1219272
21,0.1822056375986845,0.0036378254650000002,0.57846743875,0.1219272
22,0.1899074372079155,0.0041129291525,0.59052824575,0.1219272
23,0.1831878940951365,0.003468428415,0.5770483637499998,0.1219272
24,0.1905149973762865,0.00352926975,0.592327371,0.1219272
25,0.18677107053605,0.0035862590200000004,0.5856897244999998,0.1219272
