subject,mean,lo,hi,true
1,0.55123251582765,0.019375400975000002,0.845876275,0.80980379
2,0.575560252315057,0.018607174175000005,0.86836979875,0.80980379
3,0.577896319242135,0.01872520765,0.86602353775,0.80980379
4,0.5774289067514815,0.014795015875000001,0.8627049229999999,0.80980379
5,0.595432176073185,0.021593492550000003,0.8883385017500001,0.80980379
6,0.558385955320445,0.015138633900000002,0.8502421359999999,0.80980379
7,0.54864972084587,0.0138525656,0.83471508875,0.80980379
8,0.57060910717144,0.01820185475,0.8630176037499999,0.80980379
9,0.575377430823785,0.022054576425,0.8583498015,0.80980379
10,0.5715208881545615,0.020326909049999998,0.86334671575,0.80980379
11,0.55603552090485,0.01728386035,0.8452243380000001,0.80980379
12,0.5849640476960924,0.020238750875,0.880164976,0.80980379
13,0.534052319862425,0.015036454250000001,0.82373127875,0.80980379
14,0.55573646175337,0.01753879015,0.844115084,0.80980379
15,0.5496672816318625,0.015214139599999999,0.8390384415,0.80980379
16,0.56126964848056,0.0172735629,0.8538356927499999,0.80980379
17,0.54552387428503,0.01416101845,0.8318588499999999,0.80980379
18,0.55562570792751,0.018404859150000005,0.8438621275,0.80980379
19,0.55159672987682,0.016063498100000004,0.83823067125,0.80980379
20,0.560159847482365,0.014615708775,0.85396620225,0.80980379
21,0.589130735188955,0.020595380775,0.875288496,0.80980379
22,0.546503196289185,0.0194057894,0.8346658292499999,0.80980379
23,0.56756509982545,0.0181545432,0.8591467987499998,0.80980379
24,0.57284871139016,0.019379935600000002,0.8575928855,0.80980379
25,0.546260176446195,0.015481831900000001,0.839709941,0.80980379
